"","V1","V2","V3","V4","total"
"147","2020",2,"20","@washikirei",13747
"148","2020",2,"20","@suthichai",9963
"149","2020",2,"20","@realDonaldTrump",9080
"150","2020",2,"20","@WSJ",8677
"151","2020",2,"21","@naomusiker",59868
"152","2020",2,"21","@washikirei",25798
"153","2020",2,"21","@realDonaldTrump",18598
"154","2020",2,"21","@BNODesk",15451
"155","2020",2,"21","@sudarush",9428
"156","2020",2,"22","@washikirei",26498
"157","2020",2,"22","@naomusiker",20941
"158","2020",2,"22","@verellie",17242
"159","2020",2,"22","@maddow",12665
"160","2020",2,"22","@realDonaldTrump",12624
"161","2020",2,"23","@ConflitsFR",2479
"162","2020",2,"23","@BNODesk",1668
"163","2020",2,"23","@tagemeiqi",1452
"164","2020",2,"23","@FinanzasTime",1430
"165","2020",2,"23","@RichardEngel",1427
"166","2020",2,"24","@realDonaldTrump",15059
"167","2020",2,"24","@DrDzul",11284
"168","2020",2,"24","@willtbh",10746
"169","2020",2,"24","@ConflitsFR",10458
"170","2020",2,"24","@WHO",7931
"171","2020",2,"25","@realDonaldTrump",28666
"172","2020",2,"25","@OHmes2",10507
"173","2020",2,"25","@boom13003",8270
"174","2020",2,"25","@tedlieu",7244
"175","2020",2,"25","@ConflitsFR",6695
"176","2020",2,"26","@realDonaldTrump",37887
"177","2020",2,"26","@CDCgov",9754
"178","2020",2,"26","@OHmes2",8871
"179","2020",2,"26","@superm",8498
"180","2020",2,"26","@washikirei",6704
"181","2020",2,"27","@realDonaldTrump",25553
"182","2020",2,"27","@OHmes2",12093
"183","2020",2,"27","@AOC",6620
"184","2020",2,"27","@charliekirk11",6355
"185","2020",2,"27","@CDCgov",5922
"186","2020",2,"28","@realDonaldTrump",113569
"187","2020",2,"28","@OHmes2",60331
"188","2020",2,"28","@CNN",32851
"189","2020",2,"28","@VP",20867
"190","2020",2,"28","@OliverBecquart",17815
"191","2020",2,"29","@realDonaldTrump",170502
"192","2020",2,"29","@tedlieu",67198
"193","2020",2,"29","@OHmes2",41146
"194","2020",2,"29","@CNN",32052
"195","2020",2,"29","@KarenFlemingPhD",30822
"196","2020",3,"1","@realDonaldTrump",116560
"197","2020",3,"1","@OHmes2",40037
"198","2020",3,"1","@tedlieu",33464
"199","2020",3,"1","@OriginalDWoods",29170
