Tweet_ID,Hastag
1591793256593063941,#Coronavirus
1591793256593063941,#StephenKing
1591793256593063941,#virus
1591793256593063941,#variant
1591793256593063941,#parler
1591793256593063941,#rumble
1591793256593063941,#corona
1591793256593063941,#rona
1591793256593063941,#Apple
1591793256593063941,#godaddy
1591793256593063941,#Robinhood
1591793256593063941,#bing
1591793256593063941,#instagram
1591793256593063941,#snapchat
1591793256593063941,#instagramlive
1591793256593063941,#TheOfficerTatum
1591793256593063941,#CarlJacksonShow
1591793256593063941,#ThisWeekABC
1591793256593063941,#FaceTheNation
1591793256593063941,#NBCPolitics
1591795264112984064,#아일리원
1591795264112984064,#ILY1
1591795264112984064,#RIRIKA
1591795264112984064,#HANA
1591795264112984064,#…
1591799419904708608,"#Roña,"
1591799419904708608,#INE
1591799419904708608,#INEC
1591793520519806976,#SanidadPublica
1591793715731124225,#SanidadPublica
1591793955922145280,#SanidadPublica
1591794072334761984,#antitoxvax
1591794493489307656,#WakandaForever
1591795208148115456,#antivax
1591795208148115456,#antivaxxers
1591795396292272136,#SanidadPublica
1591795770675666944,#SanidadPublica
1591796566075273216,#chemtrail
1591796566075273216,#antivax
1591796566075273216,#antitout
1591796566075273216,#comploplo
1591797027603902467,#fraude
1591797027603902467,#Covid19
1591797027603902467,#Plandemia
1591797027603902467,#antivax
1591797202523127808,#fraude
1591797202523127808,#Covid19
1591797202523127808,#Plandemia
1591797202523127808,#antivax
1591797925918687232,#SanidadPublica
1591798048279375872,#Plandemia
1591798048279375872,#VanACorrer
1591798048279375872,#COVID
1591798048279375872,#COVID19
1591798048279375872,#fraude
1591798048279375872,#Urgente
1591798048279375872,#Argentina
1591798048279375872,#GobiernoCorruptoyMentiroso
1591798048279375872,#Vacunas
1591798048279375872,#Pfizer
1591798048279375872,#PfizerBioNTech
1591798048279375872,#antivax
1591798948905484289,#SanidadPublica
1591801792425529345,#antuvaxxers
1591801792425529345,#antivax
1591801792425529345,#CopeHarderAntivaxxers
1591801792425529345,#sundayvibes
1591804818603274240,#SanidadPublica
1591805903862480897,#COVIDIOTS
1591805903862480897,#antivax
1591807146294927361,#SanidadPublica
1591793001071722496,#ECommerce
1591793001071722496,#OnlineShopping
1591793001872982016,#HomeChildFriendly
1591793001872982016,#EdmontonAB
1591793001872982016,#Daycare
1591793002036359169,#Cuba
1591793002036359169,#ThisIsLiving
1591793002145382400,#SLP
1591793002145382400,#Noticias
1591793002145382400,#NoticiasSLP
1591793002305015809,#US
1591793002305015809,#JanetYellen
1591793002305015809,#China’s
1591793002518921219,#3
1591793002699071489,#COVID19
1591793002749612033,#ImACeleb
