Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1578037913316904960,zodi,4,8,ORG,0.9843
1578037913316904960,covid19,128,135,MISC,0.9999
1578037931889008640,callaway football,20,37,ORG,0.9999
1578037931889008640,covid,114,119,ORG,0.9997
1578037938218098689,vicevenezuela,4,17,ORG,0.9994
1578037938218098689,covid19,67,74,MISC,0.9998
1578037938218098689,gobierno bolivariano,95,115,ORG,0.9999
1578037955599294466,sinuebrasil,4,15,ORG,0.9981
1578037955599294466,dr,17,20,PER,0.9945
1578037955599294466,peter mccullough,21,37,PER,0.997
1578037955599294466,dr robert malone,43,60,PER,0.9997
1578037955599294466,eeuu,94,100,ORG,0.9999
1578037955599294466,cdc,106,109,ORG,0.9999
1578037955599294466,pfizer,112,118,ORG,0.9999
1578037959441408000,vtvcanal8,4,13,ORG,0.998
1578037959441408000,covid19,127,134,MISC,0.9998
1578037973559709698,sarscov2,69,77,MISC,0.9999
1578037973559709698,epoc,126,130,MISC,0.7619
1578037973559709698,copd,131,135,MISC,0.9765
1578037973559709698,golperafael,137,148,PER,0.644
1578037973559709698,miangel16338,150,162,PER,0.646
1578037973559709698,sars-cov-2,203,213,MISC,0.9991
1578037973559709698,copd,227,231,MISC,0.9874
1578037977107791873,publico,4,11,ORG,0.9029
1578037987060772865,jbagbam,4,11,MISC,0.4732
1578037987060772865,primera,72,79,MISC,0.9879
1578037990974099460,char,64,68,PER,0.9998
1578037997794050048,cmdted214gnb,4,16,MISC,0.4627
1578037997794050048,d214lagritacz21,19,34,PER,0.9867
1578037997794050048,gnbgarantedepaz,36,51,ORG,0.4968
1578037997794050048,el tapabocas,91,103,MISC,0.9999
1578037999824429056,vaniayabarg,1,12,PER,0.6181
1578038000151597056,vtvcanal8,4,13,ORG,0.998
1578038000151597056,covid19,127,134,MISC,0.9998
1578038010142027776,msaludpy,4,12,ORG,0.9773
1578038010142027776,covid19,17,24,MISC,0.9998
1578038036218007554,cmdtepaclahonda,4,19,ORG,0.4182
1578038036218007554,d214lagritacz21,22,37,PER,0.9571
1578038036218007554,gnbgarantedepaz,39,54,ORG,0.995
1578038036218007554,el tapabocas,95,107,MISC,0.9998
1578038039657455616,libertadmarta,4,17,ORG,0.9999
1578038042434015232,zodi,4,8,ORG,0.9843
1578038042434015232,covid19,128,135,MISC,0.9999
1578038055650590731,ituerahipster,4,17,ORG,0.891
1578038060088201217,zodi,4,8,ORG,0.9843
1578038060088201217,covid19,128,135,MISC,0.9999
1578038066010361856,covid-19,29,37,MISC,0.9997
1578038071043690497,secprensasv,4,15,ORG,0.9685
1578038071043690497,tamizajecomunitario,17,36,MISC,0.9907
1578038071043690497,gobierno del presidente,55,78,ORG,0.9949
1578038071043690497,nayibbukele,80,91,ORG,0.4391
1578038071043690497,ministerio de @saludsvy,106,129,ORG,0.9989
1578038071043690497,eice,134,138,ORG,0.9999
1578038074184847360,char,64,68,PER,0.9998
1578038075305136128,secprensasv,4,15,ORG,0.9685
1578038075305136128,tamizajecomunitario,17,36,MISC,0.9907
1578038075305136128,gobierno del presidente,55,78,ORG,0.9949
1578038075305136128,nayibbukele,80,91,ORG,0.4391
1578038075305136128,ministerio de @saludsvy,106,129,ORG,0.9989
1578038075305136128,eice,134,138,ORG,0.9999
1578038077427052544,unión europea,18,31,ORG,0.9998
1578038077427052544,reglamento de servicios digitales,49,82,MISC,0.9999
1578038083056209920,secprensasv,4,15,ORG,0.9533
1578038083056209920,gobierno del presidente,54,77,ORG,0.959
1578038083056209920,nayibbukele,79,90,ORG,0.5538
1578038083056209920,ministerio de @saludsv,105,127,ORG,0.9981
1578038083056209920,eice,134,138,ORG,0.9999
1578038086566522888,estrategia de vacunación,66,90,MISC,0.9779
1578038086566522888,covid-19,101,109,MISC,0.9992
1578038086675894276,guillotina,3,13,PER,0.9999
1578038086675894276,ayusohomicida ossorioflipa justiciaya covid19,21,66,MISC,0.9991
1578038090186502147,libertad del estado,3,22,MISC,0.9999
1578038091834458112,vanega70852761,19,33,PER,0.9955
1578038091834458112,auxzumbador,35,46,PER,0.9966
1578038091834458112,d214lagritacz21,48,63,PER,0.9711
1578038091834458112,gnbgarantedepaz,65,80,ORG,0.9997
1578038094095437824,somoscorta,21,31,ORG,0.8312
1578038094095437824,pp,46,48,ORG,1.0
1578038094095437824,rajoy,105,110,PER,0.9993
1578038095290982400,cdc,56,59,ORG,0.9998
1578038096477958147,secprensasv,4,15,ORG,0.9457
1578038096477958147,tamizajecomunitario,17,36,MISC,0.8947
1578038096477958147,ministerio de @saludsv,55,77,ORG,0.9803
1578038096477958147,covi,134,138,ORG,0.9855
1578038101275947008,brigadaschch,4,16,ORG,0.8756
1578038104736530432,secprensasv,4,15,ORG,0.972
1578038104736530432,tamizajecomunitario,17,36,MISC,0.5944
1578038104736530432,la concordia,52,64,LOC,0.9999
1578038104736530432,ahuachapán,66,76,LOC,0.9999
1578038104736530432,ministerio de @saludsv,94,116,ORG,0.9773
1578038105680003072,chuvasquez,4,14,PER,0.6906
1578038105680003072,guarino cruz,100,112,PER,1.0
1578038110239494152,noticiasrsv,4,15,ORG,0.9887
1578038110239494152,nrsv,17,21,ORG,0.9999
1578038110239494152,ministerio de @saludsv,47,69,ORG,0.9967
1578038115213926402,guiadeliveryok,189,203,ORG,0.8364
1578038115213926402,guiadelivery,204,216,ORG,0.5191
1578038115213926402,yomequedoencasa,232,247,MISC,0.8464
1578038116488650753,bangchan,4,12,ORG,0.9996
1578038116488650753,bang chan,55,64,ORG,0.7464
1578038116606431232,igualdadand,4,15,ORG,0.8754
1578038116606431232,serviciodeteleasistencia,22,46,MISC,0.9866
1578038116606431232,loleslopez,116,126,ORG,0.4303
1578038116807774208,cienciaparavivirmejor,0,21,MISC,0.9961
1578038116807774208,gorka_orive,23,34,PER,0.996
1578038116807774208,upvehu,65,71,ORG,0.9999
1578038116807774208,covid19,102,109,MISC,0.9999
1578038119844151296,lorenroth3,4,14,PER,0.3737
1578038119844151296,winston,17,24,PER,0.9999
1578038119844151296,dunhill,25,32,PER,1.0
1578038119844151296,marielmer1,34,44,PER,0.9995
1578038121786376195,gobierno ayuso,57,71,ORG,0.9999
1578038131911180288,fundapretm,4,14,ORG,0.988
1578038131911180288,gobierno bolivariano,31,51,ORG,0.9999
1578038131911180288,plan de inmuni,124,138,MISC,0.9999
1578038140316573696,danielsturla,1,13,PER,0.9994
1578038140316573696,covid,69,74,MISC,0.9992
1578038141256052736,aiertamundiai,4,17,ORG,0.9933
1578038141256052736,🇨🇳,19,21,LOC,0.9145
1578038141256052736,china,35,40,ORG,0.7783
1578038141256052736,covid,80,85,MISC,0.9996
1578038141256052736,xishuangbanna,122,135,LOC,0.9998
1578038142149414915,tony73,4,10,PER,0.8483
1578038142149414915,comisión europea,69,85,ORG,0.9999
1578038142149414915,pfizer,104,110,ORG,1.0
1578038142288162816,alejandraimrqz,4,18,PER,0.9743
1578038142288162816,covid19,87,94,MISC,0.9999
1578038144196571138,brigadaschch,4,16,ORG,0.8756
1578038146415165440,españa,71,77,LOC,1.0
1578038162240114688,char,64,68,PER,0.9998
1578038162642718722,covid-19,74,82,MISC,0.9999
1578038163041296384,encuestando,4,15,ORG,0.9595
1578038163041296384,gobierno de la comunidad de madrid,26,60,ORG,0.9999
1578038163041296384,ayuso,76,81,PER,0.9495
1578038163381125120,gobierno ayuso,41,55,ORG,0.9998
1578038163381125120,protocolo,66,75,MISC,0.9999
1578038172293922816,pikipepi,4,12,ORG,0.9586
1578038172293922816,covid,68,73,MISC,0.974
1578038172293922816,atentado,90,98,MISC,0.987
1578038172293922816,nordstrem,102,111,MISC,0.9001
1578038172293922816,torres,131,137,MISC,0.8676
1578038175330861056,nam,87,90,PER,0.998
1578038175330861056,bts,112,115,ORG,0.9849
1578038175330861056,proof yettocome,116,131,MISC,0.9998
1578038178086354944,cmdte,4,9,ORG,0.9552
1578038178086354944,czgnb,43,48,ORG,1.0
1578038178086354944,trujillo,49,57,LOC,0.9759
1578038178086354944,prestac,132,139,MISC,0.9781
1578038179315286017,cataluña,70,78,LOC,1.0
1578038179315286017,govern,101,107,ORG,0.9999
1578038180586336256,alicia56483057,4,18,ORG,0.636
1578038180586336256,covid19,93,100,MISC,0.9999
1578038182871973888,needforspeed,4,16,ORG,0.999
1578038182871973888,need for speed unbound,41,63,MISC,0.9999
1578038182871973888,the,136,139,MISC,0.9994
1578038188735619073,castilla y león,70,85,LOC,0.9993
1578038194515644416,migueluribet,1,13,PER,0.8771
1578038194515644416,covid,55,60,MISC,0.9994
1578038199372644352,chuvasquez,4,14,PER,0.746
1578038199372644352,covid-19,54,62,MISC,0.9999
1578038199372644352,vacúnaterd,126,136,MISC,0.9734
1578038199519412227,tamizajecomunitario,0,19,MISC,0.9984
1578038199519412227,lety vindel,153,164,PER,0.9999
1578038199519412227,covid-19,197,205,MISC,0.9999
1578038207396077568,vtvcanal8,4,13,ORG,0.9985
1578038207396077568,covid-19,40,48,MISC,0.9999
1578038207396077568,venezuela,50,59,LOC,0.9999
1578038207396077568,pueblocontechopropio,115,135,MISC,0.9991
1578038207639273473,gnb1ciajuantino,4,19,ORG,0.9975
1578038208935256065,gobierno ayuso,41,55,ORG,0.9998
1578038208935256065,protocolo,66,75,MISC,0.9999
1578038208977260544,valencia,60,68,LOC,1.0
1578038208977260544,yak 42,70,76,MISC,0.8577
1578038208977260544,eta,119,122,ORG,0.5682
1578038210139144194,sevilla,18,25,LOC,0.9999
1578038210139144194,lopetegui,46,55,PER,0.9999
1578038210139144194,jorge sampaoli,57,71,PER,0.9999
1578038210139144194,tecatito corona,148,163,ORG,0.9998
1578038217953415168,solidgrouptech,4,18,ORG,0.9686
1578038217953415168,colombia,115,123,LOC,0.9997
1578038222487441409,zodi,4,8,ORG,0.9843
1578038222487441409,covid19,128,135,MISC,0.9999
1578038225146241034,juangrvas,4,13,PER,0.9989
1578038231853137920,presidenciard,4,17,ORG,0.8769
1578038231853137920,duarte,58,64,LOC,0.9999
1578038231853137920,covid-19,89,97,MISC,0.9999
1578038231853137920,rumboalainmunidadcolectiva,103,129,MISC,0.4817
1578038231853137920,mini,134,138,MISC,0.6949
1578038233216126977,coronavirus,52,63,MISC,0.9999
1578038233216126977,oea,86,89,ORG,0.9999
1578038233216126977,américa latina,110,124,LOC,1.0
1578038233216126977,cesar vidal,134,145,PER,0.9999
1578038233216126977,las noticias del día - 05,162,187,MISC,0.9399
1578038233216126977,10,188,190,MISC,0.696
1578038248248836096,brandon94022727,1,16,PER,0.9467
1578038249871888384,apapell,4,11,ORG,0.5676
1578038249871888384,covid,125,130,ORG,0.9999
1578038250064601089,gobierno,4,12,ORG,1.0
1578038250173829121,lamadredesatan,4,18,ORG,0.9997
1578038250173829121,ministerio de sanidad,54,75,ORG,0.9947
1578038250173829121,españa,109,115,LOC,1.0
1578038250622500864,2daciapuesto,4,16,ORG,0.9932
1578038250622500864,czgnb,40,45,ORG,1.0
1578038250622500864,trujillo,46,54,LOC,0.9854
1578038250622500864,prestacion,129,139,MISC,0.9584
1578038259632205829,brigadaschch,4,16,ORG,0.8756
1578038263306063916,vtvcanal8,4,13,ORG,0.9985
1578038263306063916,covid-19,40,48,MISC,0.9999
1578038263306063916,venezuela,50,59,LOC,0.9999
1578038263306063916,pueblocontechopropio,115,135,MISC,0.9991
1578038263910387714,unión europea,18,31,ORG,0.9998
1578038263910387714,reglamento de servicios digitales,49,82,MISC,0.9999
1578038269157130240,vitamina c,39,49,MISC,0.9997
1578038269157130240,covid-19,53,61,MISC,0.9999
1578038276601966592,gerjimenez21,4,16,PER,0.8785
1578038276601966592,páez,30,34,PER,0.9999
1578038276601966592,bolívar,39,46,PER,1.0
1578038276601966592,colombia,128,136,ORG,0.9986
1578038279311589376,ayuso,50,55,PER,0.9035
1578038279311589376,seguridad social,157,173,MISC,0.9997
1578038279311589376,ibex-35,189,196,MISC,0.9995
1578038290870960129,unión europea,18,31,ORG,0.9998
1578038290870960129,reglamento de servicios digitales,49,82,MISC,0.9999
1578038293928845312,gobierno ayuso,57,71,ORG,0.9999
1578038301852041221,unión europea,18,31,ORG,0.9998
1578038301852041221,reglamento de servicios digitales,49,82,MISC,0.9999
1578038305949614081,bangchan,4,12,ORG,0.9996
1578038305949614081,bang chan,55,64,ORG,0.7464
1578038310416838656,char,64,68,PER,0.9998
1578038311406518272,jlozanoa,1,9,PER,0.61
1578038311406518272,covid,107,112,PER,0.9999
1578038314501709824,gemvep,4,10,ORG,0.9982
1578038314501709824,covid_19,78,86,MISC,0.989
1578038314501709824,covid19,124,131,MISC,0.9995
1578038314501709824,u,135,136,LOC,0.9982
1578038317408362499,unoticias,4,13,ORG,0.9999
1578038319539097600,gnb1ciajuantino,4,19,ORG,0.9975
1578038319820185600,gobierno ayuso,41,55,ORG,0.9998
1578038319820185600,protocolo,66,75,MISC,0.9999
1578038323012337664,paraguay,14,22,LOC,0.9999
1578038323012337664,covid-19,61,69,MISC,0.9999
1578038323012337664,prensa latina,72,85,ORG,0.9997
1578038324601663489,criticoenf,4,14,MISC,0.7186
1578038324601663489,corona,121,127,ORG,0.9998
1578038328221347841,utso,4,8,ORG,0.9898
1578038328221347841,covid-19,29,37,MISC,0.9998
1578038329979056132,drpacomoreno1,4,17,PER,0.9992
1578038329979056132,covid19,85,92,MISC,0.9999
1578038353462706176,terra_cremada,4,17,MISC,0.9158
1578038353462706176,suecia,64,70,ORG,0.9997
1578038356713562112,gobierno ayuso,41,55,ORG,0.9998
1578038356713562112,protocolo,66,75,MISC,0.9999
1578038359330807810,macaballeroma,4,17,PER,0.9158
1578038368839274498,gobierno ayuso,41,55,ORG,0.9998
1578038368839274498,protocolo,66,75,MISC,0.9999
1578038368885252096,covid-19,71,79,MISC,0.9999
