Tweet_ID,Sentiment_Label,Probability_pos
1598648171718066177,neutral,0.3497956350354232
1598648172657508352,negative,0.10139017318907137
1598648174662586369,negative,1.0100153825035119e-05
1598648175530680320,negative,0.11162762197975168
1598648175958663168,negative,0.011069268240885536
1598648176587591680,negative,9.1885235298848e-05
1598648177443442688,negative,0.020161410567383763
1598648177971716097,negative,0.0003705874539360049
1598648179364286465,negative,1.1688898023421371e-05
1598648179595124739,negative,0.15158178475206224
1598648180937138177,neutral,0.6078634963189437
1598648181688078339,negative,0.01387833105023809
1598648185215328257,negative,0.10139017318907137
1598648187312480257,negative,0.03348580804550053
1598648188218507265,negative,0.001837919081269207
1598648189657260032,negative,0.027868208353293088
1598648189896253440,neutral,0.34388468530643307
1598648201652817922,negative,0.007319885939449312
1598648202294706176,positive,0.839029722359984
1598648203381018624,negative,0.04369781005599053
1598648206627405828,negative,0.03696693783263231
1598648207399178240,negative,0.007319885939449312
1598648216869900289,negative,0.001029053378529251
1598648219831083008,negative,0.014194635570458938
1598648220758036480,negative,0.0009210368577212181
1598648220862881794,negative,0.32393605151354415
1598648221450002433,negative,0.001837919081269207
1598648222775320576,neutral,0.4273682507201313
1598648224184619008,negative,3.4377800237872665e-09
1598648225992298496,positive,0.9473576444036222
1598648226407669764,negative,0.018955920272169753
1598648229557583872,neutral,0.4064281066055449
1598648241528393728,neutral,0.46376495724857586
1598648241821650944,negative,0.004751649845231599
1598648241834164224,negative,0.00355949700773567
1598648243054845952,negative,0.13593932929556388
1598648243646259203,negative,0.012771617066256515
1598648246355853313,negative,0.001029053378529251
1598648278945599488,negative,0.001029053378529251
1598648281394970624,negative,0.01723406255947652
1598648288445710336,negative,0.001837919081269207
1598648307139616768,negative,0.0002712395700209216
1598648309320921089,negative,0.001837919081269207
1598648311950475264,negative,0.2748606587073417
1598648315494768640,negative,0.013880276601599576
1598648317763887105,negative,2.501925762469203e-06
1598648320733466624,negative,2.501925762469203e-06
1598648325259104257,negative,3.9563389128952816e-05
1598648330275414017,negative,0.001029053378529251
1598648335346417664,neutral,0.3444308941853149
1598648335711100928,negative,5.208057889939917e-05
1598648335883128833,negative,3.814970200209805e-06
1598648345031049219,neutral,0.3794095594708052
1598648345144147968,positive,0.8147150170671673
1598648351460921346,negative,0.25804084752607587
1598648352547258368,negative,0.013222541433959146
1598648353163730945,neutral,0.6354077491400684
1598648364614107136,negative,2.355633421281563e-06
1598648364748443648,negative,0.19226311004491928
1598648372084236289,negative,0.3209384844771804
1598648372767838208,negative,0.001837919081269207
1598648374844178434,negative,0.1441415553180833
1598648380275789824,negative,0.031785818784322864
1598648382620409859,neutral,0.619237246208411
1598648390577000449,neutral,0.46127768308170247
1598648393445908484,negative,0.21878248555748606
1598648395798822913,negative,0.031593584098356386
1598648396537073667,negative,2.0090558272962646e-13
1598648397988339712,neutral,0.35457256608203047
1598648398860754945,negative,0.13603443365277676
1598648399053524994,negative,0.001837919081269207
1598648402807439365,negative,0.02159921420858739
1598648405324177411,negative,0.02766124873750238
1598648407274524672,negative,0.03781786434773064
1598648415897821184,negative,0.0010444664545771714
1598648419026804736,negative,0.0037229367443772114
1598648420008427524,negative,0.001029053378529251
1598648425498583040,negative,0.011623323550036068
1598648428946505730,negative,0.07448400942722308
1598648435246235649,neutral,0.49789225920557484
1598648438660665344,negative,0.014359611345018206
1598648442984665089,negative,4.541351614003189e-06
1598648443760680960,negative,0.05229768475483108
1598648446113796097,negative,0.001837919081269207
1598648447304929281,negative,0.0034013172482496687
1598648448449921024,negative,0.21095218122193266
1598648449905590275,neutral,0.5496678701602578
1598648449972555783,negative,0.001029053378529251
1598648450001899520,negative,0.02767093801307935
1598648462324670464,negative,0.001009705600502701
1598648467609583616,negative,0.018304622324880265
1598648473284497409,negative,0.0014444699572334237
1598648477168304128,negative,0.001837919081269207
1598648477587759104,negative,0.0038089066578824494
1598648477894033409,negative,0.0967804922724282
1598648480003756034,negative,0.21833788378353042
1598648486110560257,negative,0.02758033977181551
1598648494083940355,negative,0.018304622324880265
1598648494234927106,negative,1.871937729825949e-06
1598648499184160768,negative,0.0025312107509034136
1598648499708493826,negative,0.005181154413829178
1598648505811496960,negative,0.027868208353293088
1598648513902137347,negative,0.006779789463580857
1598648521380753409,negative,0.1505972672811232
1598648525289668609,negative,0.001029053378529251
1598648526526976001,negative,0.1010600474758826
1598648530381508609,negative,4.420791201041988e-05
1598648530972950529,negative,2.5508922049043716e-08
1598648532298350598,negative,0.0008531482469908656
1598648535272099841,negative,0.001625142173858751
1598648535293075457,negative,0.16453664456335437
1598648535549104128,neutral,0.49789225920557484
1598648538015178752,negative,0.3072273599470689
1598648540460220416,neutral,0.49789225920557484
1598648544562487296,negative,0.02858667829332637
1598648552166772737,negative,0.0003318951342384755
1598648554226073600,negative,0.001029053378529251
1598648555454926848,negative,0.0010034315789288623
1598648556155736065,neutral,0.35410920520674855
1598648560932749313,negative,0.004430422882351388
1598648575025729536,negative,0.0017001542986698783
1598648575705157633,negative,4.7918030327516945e-09
1598648588220833792,negative,0.0004600945119948259
1598648588984262656,neutral,0.4390898023762525
1598648594457829378,negative,4.365726585158521e-05
1598648598614482945,negative,0.00018022863545737373
1598648598849257476,neutral,0.49789225920557484
1598648604000157696,negative,0.266490407949845
1598648612648456192,negative,0.001837919081269207
1598648613273538560,negative,0.32194719714270875
1598648618323353600,negative,0.001837919081269207
1598648625248116737,negative,5.690335828563855e-05
1598648633322250241,negative,0.001029053378529251
1598648639945154562,negative,0.002136635776154535
1598648640901615616,negative,0.001029053378529251
1598648645124964352,negative,0.027602848724942182
1598648647381647360,neutral,0.5374478655040366
1598648656672047104,negative,0.001837919081269207
1598648657720627201,negative,0.3072273599470689
1598648658081505281,negative,0.027868208353293088
1598648658500751363,negative,0.00016976954396879477
1598648672270557185,negative,0.001029053378529251
1598648673033981953,negative,0.24672323886690875
1598648680080359425,negative,0.001029053378529251
1598648683272327170,negative,4.449605194126685e-07
1598648686422020097,negative,5.039806555188414e-06
