Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1585709465382227968,shuri,214,219,PER,0.56
1585709948155092995,steve kirsch,42,54,PER,0.9951
1585709948155092995,benioff,71,78,PER,0.8318
1585714412509593600,ia,152,154,ORG,0.4327
1585715345146277888,mollyjongfast the mds,1,22,MISC,0.7803
1585715345146277888,ob,94,96,ORG,0.628
1585717743956934660,pfizer,169,175,ORG,0.7323
1585717743956934660,vax,190,193,MISC,0.6783
1585719573965262849,cdc,38,41,ORG,0.9989
1585719573965262849,who,43,46,ORG,0.807
1585719573965262849,pfizer,51,57,ORG,0.9974
1585720141878153218,ozraeliavi,1,11,PER,0.3103
1585721273707266048,katy,196,200,PER,0.9805
1585721980116176896,blake,164,169,PER,0.9983
1585722020955684867,jon stewart,171,182,PER,0.9968
1585722020955684867,wapo,223,227,PER,0.8671
1585722615393816576,albertans,28,37,PER,0.6157
1585707906049183752,tco,160,164,LOC,0.5712
1585707932942942209,sars-cov-2,67,77,MISC,0.9566
1585707932942942209,covid-19,96,104,MISC,0.5835
1585707940010491904,chicagotribune,36,50,MISC,0.5592
1585707963959939079,coronavirus,0,11,MISC,0.9622
1585707978824552467,mexico,0,6,LOC,0.4756
1585707978824552467,san diego,22,31,LOC,0.9992
1585708102724231168,covid safe scheme,4,21,ORG,0.6771
1585708119342329856,australians,32,43,MISC,0.9993
1585708119342329856,covid-19,81,89,MISC,0.8816
1585708143434047488,cuba,22,26,LOC,0.9997
1585708150006681617,covid mania,50,61,MISC,0.6833
1585708150006681617,gates foundation,67,83,ORG,0.8037
1585708150006681617,world economic forum,92,112,ORG,0.8189
1585708212330070016,covid-19,4,12,MISC,0.7993
1585708293946753025,nyc,13,16,ORG,0.7772
1585708293946753025,covid,67,72,MISC,0.8541
1585708331410259968,event 201,13,22,MISC,0.7836
1585708331410259968,world economic forum,70,90,MISC,0.65
1585708331410259968,davos,101,106,LOC,0.9934
1585708411819278337,us,0,4,LOC,0.9957
1585708491259277313,dwuhlfelderlaw nah,1,19,PER,0.5188
1585708491259277313,pelosi,48,54,PER,1.0
1585708491259277313,democrats,63,72,MISC,0.5904
1585708531915055104,coronavirus,124,135,MISC,0.6482
1585708555973558272,japan,8,13,LOC,0.9807
1585708555973558272,covid-19,51,59,MISC,0.5736
1585708567088484352,dadephelan,47,57,ORG,0.834
1585708693718700032,xi jinping,166,176,PER,0.9729
1585708693718700032,cgg-cgg,299,306,ORG,0.3622
1585708754867216391,scc,8,11,ORG,0.7624
1585708759099314176,uk,40,42,LOC,0.9988
1585708784843751424,scotland,57,65,LOC,0.9588
1585708823507083264,uk,61,63,LOC,0.9988
1585708836152696832,dadephelan,47,57,ORG,0.834
1585708854633197570,uk,61,63,LOC,0.9988
1585708862782554116,uk,52,54,LOC,0.9987
1585708862782554116,dna,115,118,MISC,0.7251
1585708876825255937,jim_jordan,1,11,PER,0.7865
1585709031938985985,coronavirus cup,40,55,MISC,0.78
1585709031938985985,optimus prime,63,76,MISC,0.584
1585709031938985985,godzilla,97,105,MISC,0.6558
1585709031938985985,mwf world championship,114,136,MISC,0.7999
1585709200893628416,covid mania,50,61,MISC,0.6833
1585709200893628416,gates foundation,67,83,ORG,0.8037
1585709200893628416,world economic forum,92,112,ORG,0.8189
1585709249010638849,covid-19,75,83,MISC,0.8435
1585709256363212800,covid mania,50,61,MISC,0.6833
1585709256363212800,gates foundation,67,83,ORG,0.8037
1585709256363212800,world economic forum,92,112,ORG,0.8189
1585709376253603840,covid mania,50,61,MISC,0.6833
1585709376253603840,gates foundation,67,83,ORG,0.8037
