Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1588788206903955456,tamizajecomunitario,0,19,MISC,0.9958
1588788206903955456,gobierno del presidente,22,45,ORG,0.9999
1588788206903955456,nayibbukele,47,58,ORG,0.9377
1588788206903955456,pcr,87,90,MISC,0.9966
1588788206903955456,san miguel,94,104,LOC,1.0
1588788206903955456,la paz,106,112,LOC,1.0
1588788206903955456,san salvador,115,127,LOC,1.0
1588788206903955456,covid19,149,156,MISC,0.9999
1588788218300096512,rtfkt,0,5,ORG,0.9997
1588788218300096512,adidas,8,14,ORG,0.9998
1588788218300096512,dante_go_crazy,17,31,PER,0.8933
1588788218300096512,mostvaluetime,33,46,MISC,0.5104
1588788218300096512,osman,48,53,PER,0.9448
1588788218300096512,s,54,55,PER,0.532
1588788218300096512,ozmen,56,61,PER,0.9801
1588788218300096512,breezlesprouts,73,87,MISC,0.6859
1588788218300096512,nynguye19031336,89,104,PER,0.5929
1588788218300096512,thecybersailor,106,120,MISC,0.8278
1588788218300096512,empeytravis,122,133,MISC,0.7871
1588788218300096512,sabwayeric,148,158,MISC,0.7324
1588788218300096512,lookup365,160,169,MISC,0.3698
1588788218300096512,walidadil007,171,183,PER,0.709
1588788231080120320,rtfkt,0,5,ORG,0.9999
1588788231080120320,adidas,8,14,ORG,0.9999
1588788231080120320,0xenasacar,17,27,PER,0.4108
1588788231080120320,enrico1999,29,39,PER,0.892
1588788231080120320,adafrolova,41,51,PER,0.67
1588788231080120320,noahparker91,54,66,PER,0.9949
1588788231080120320,funfroggys,84,94,PER,0.768
1588788231080120320,wongj82,96,103,PER,0.7853
1588788231080120320,tahahaha,129,137,PER,0.9876
1588788231080120320,ind1go,158,164,MISC,0.5735
1588788231080120320,andreikrt08,170,181,PER,0.965
1588788243025530880,rtfkt,0,5,ORG,0.9998
1588788243025530880,adidas,8,14,ORG,0.9999
1588788243025530880,ednar,65,70,PER,0.9953
1588788243025530880,royale,71,77,PER,0.7407
1588788243025530880,williamsacks6,79,92,PER,0.5921
1588788243025530880,ray,94,97,PER,0.9923
1588788243025530880,shocka,104,110,PER,0.9202
1588788243025530880,mikelow07297528,116,131,PER,0.9928
1588788243025530880,kevin,133,138,PER,0.9782
1588788243025530880,crypchia,146,154,MISC,0.9354
1588788243025530880,matt16553783,156,168,MISC,0.7946
1588788250222940161,rtfkt,0,5,ORG,0.9998
1588788250222940161,adidas,8,14,ORG,0.9999
1588788250222940161,williamdowie,17,29,PER,0.9922
1588788250222940161,ruluxzak,31,39,PER,0.7726
1588788250222940161,revolvabie,41,51,MISC,0.7531
1588788250222940161,silicontrary,53,65,MISC,0.8565
1588788250222940161,alex480115781,67,80,PER,0.9954
1588788250222940161,flagpunk020,145,156,PER,0.592
1588788256719896576,rtfkt,0,5,ORG,0.9999
1588788256719896576,adidas,8,14,ORG,0.9999
1588788256719896576,fouadkaraki,17,28,PER,0.9983
1588788256719896576,web3,33,37,ORG,0.9988
1588788256719896576,fja,38,41,ORG,0.9991
1588788256719896576,hanachannft,76,87,ORG,0.8027
1588788256719896576,anishairma,89,99,ORG,0.5267
1588788256719896576,welcomemyfranz,101,115,PER,0.678
1588788256719896576,nftprofessions,117,131,ORG,0.8616
1588788265519239168,rtfkt,0,5,ORG,0.9996
1588788265519239168,adidas,8,14,ORG,0.9999
1588788265519239168,babyfuture2021,17,31,PER,0.7765
1588788265519239168,krasivoedao,33,44,MISC,0.3697
1588788265519239168,neoz,62,66,MISC,0.6292
1588788265519239168,ryx,67,70,ORG,0.6511
1588788265519239168,fat,72,75,MISC,0.4289
1588788265519239168,itisrobertjames,100,115,PER,0.8045
1588788265519239168,mmmm33597169,117,129,PER,0.983
1588788265519239168,dedpunkseth,164,175,PER,0.4356
1588788265519239168,ricksancheth,185,197,PER,0.7474
1588788273690050560,rtfkt,0,5,ORG,0.9997
1588788273690050560,adidas,8,14,ORG,0.9999
1588788273690050560,bossigoodlife,17,30,MISC,0.6406
1588788273690050560,tsuuyu,74,80,PER,0.9753
1588788273690050560,wvxam,95,100,ORG,0.8397
1588788273690050560,ngocdzai,102,110,MISC,0.6144
1588788273690050560,slhmln,112,118,ORG,0.7384
1588788273690050560,imrobotdev,120,130,MISC,0.5606
1588788273690050560,harivisuals,145,156,MISC,0.5735
1588788302211035136,rtfkt,0,5,ORG,0.9998
1588788302211035136,adidas,8,14,ORG,0.9999
1588788302211035136,aliali99999911,17,31,PER,0.926
1588788302211035136,warawara0221,33,45,PER,0.3218
1588788302211035136,cryptochipboy1,47,61,MISC,0.4374
1588788302211035136,mohammad184030,63,77,PER,0.9862
1588788302211035136,heirloomdecorvt,88,103,PER,0.5695
1588788302211035136,blakehurley,105,116,PER,0.7657
1588788302211035136,rtalopin,130,138,MISC,0.7182
1588788318371983360,drlejarazu,4,14,PER,0.9952
1588788318371983360,iberia,25,31,ORG,0.9999
1588788318371983360,covid19,69,76,MISC,0.9996
1588788319961616389,rosamariaartal,4,18,PER,0.9725
1588788319961616389,ayuso,27,32,PER,0.9998
1588788319961616389,poder judicial,52,66,ORG,0.7254
1588788319961616389,sánchez,120,127,PER,0.9995
1588788319961616389,p,138,139,ORG,0.9879
1588788323719733248,rtfkt,0,5,ORG,0.9998
1588788323719733248,adidas,8,14,ORG,0.9999
1588788323719733248,pol117,29,35,PER,0.9939
1588788323719733248,juliendkn,37,46,PER,0.9989
1588788323719733248,pearlx,75,81,PER,0.5139
1588788323719733248,chivescoming,113,125,ORG,0.9932
1588788323719733248,opaiton91421550,127,142,PER,0.4855
1588788323719733248,shinraifudousan,159,174,PER,0.3641
1588788323719733248,enmanueljmo,176,187,PER,0.9985
