Tweet_ID,Mentions
1593334045886251009,@SosAbuelos1
1593335591407689728,@SosAbuelos1
1593338560131776514,@SosAbuelos1
1593347838364340225,@SosAbuelos1
1593347947206516737,@Acerina56
1593347947206516737,@SosAbuelos1
1593347947206516737,@Isagonz__
1593333168421146624,@philippejuvin
1593333221932007426,@philippejuvin
1593333326286389250,@backtolife_2023
1593333423745089536,@backtolife_2023
1593333477100994560,@philippejuvin
1593333492884045825,@Margotte57000
1593333520444833793,@TomLinn14
1593333520444833793,@daz92407711
1593333520444833793,@Hypothesis
1593333520444833793,@ClareCraigPath
1593333550127931395,@backtolife_2023
1593333596890316800,@backtolife_2023
1593333628951560194,@philippejuvin
1593333653869891585,@tolgaozcelkk90
1593333712661381124,@backtolife_2023
1593333735130386433,@DidierZapera
1593333735130386433,@CDiscute
1593333735130386433,@ErikLoridan
1593333821839233024,@backtolife_2023
1593333824334843904,@DieyzCG
1593333824334843904,@SwitchHerve
1593333824334843904,@CarminDj
1593333824334843904,@Cdenquete
1593333824334843904,@France2tv
1593333881180246017,@LiliBrinderbe
1593333881180246017,@anne_g29
1593333881180246017,@rglucks1
1593333881180246017,@RoyalSegolene
1593333904773103616,@backtolife_2023
1593333922292711424,@AllanicFabian
1593333922292711424,@philippejuvin
1593333930505150466,@backtolife_2023
1593333935051837443,@backtolife_2023
1593333940802228224,@philippejuvin
1593333956941959171,@philippejuvin
1593334112395280384,@backtolife_2023
1593334199821410306,@backtolife_2023
1593334241366007808,@DiogenedArc
1593334241366007808,@CarolineFiat…
1593334278141657088,@philippejuvin
1593334312350392320,@BEarldorman
1593334312350392320,@Mr_Magoo5
1593334312350392320,@Alex_on_A14
1593334312350392320,@AlBowers1
1593334312350392320,@BreezerGalway
1593334312350392320,@whykeepitup
1593334312350392320,@Kitty_Grayling
1593334312350392320,@Sharky_vs_Evil
1593334312350392320,@LaymansScience
1593334312350392320,@HoratioAlger15
1593334312350392320,@ThanosStu84
1593334328863477760,@tolgaozcelkk90
1593334379371282433,@backtolife_2023
1593334384001777665,@france2000Mars
1593334384001777665,@drnordsud
1593334577619243008,@backtolife_2023
1593334590218838016,@backtolife_2023
1593334592026693632,@backtolife_2023
1593334594480259073,@backtolife_2023
1593334631201443845,@SwitchHerve
1593334667213692928,@philippejuvin
1593334667213692928,@philippejuvin
1593334780245864448,@backtolife_2023
1593334816426102784,@LCP
1593334831764709419,@philippejuvin
1593334839603773446,@backtolife_2023
1593334886533931010,@backtolife_2023
1593334893513252873,@backtolife_2023
1593334913608073220,@backtolife_2023
1593334915231322121,@backtolife_2023
1593334949293301761,@philippejuvin
1593334980616376323,@AllanicFabian
1593334980616376323,@philippejuvin
1593335005035610112,@backtolife_2023
1593335008844021760,@philippejuvin
1593335176410677253,@backtolife_2023
1593335193473097732,@verity_france
1593335211940618240,@backtolife_2023
1593335212674539520,@philippejuvin
1593335289224855553,@LEGRANDGilles8
1593335289224855553,@barriere_dr
1593335309793726467,@backtolife_2023
1593335337224388608,@LatouryGermain
1593335360980910080,@philippejuvin
1593335380614545408,@tolgaozcelkk90
1593335391058382848,@DiogenedArc
1593335391058382848,@CarolineFiat…
1593335480095068162,@backtolife_2023
1593335514500923392,@backtolife_2023
1593335531462688771,@IicheIIarem
1593335531462688771,@Voyage_63
1593335531462688771,@PatrickBruel
1593335545270341632,@backtolife_2023
1593335610198183936,@DIVIZIO1
1593335631979085829,@backtolife_2023
1593335820051693574,@backtolife_2023
1593335853002137601,@JLGagnaire
1593335853002137601,@PhilippeMurer
1593335853002137601,@JulietteCausans
1593335905363935232,@LouisEymard
1593335905363935232,@verity_france
1593335919901376513,@backtolife_2023
1593335935663579136,@Fredisa04
1593335935663579136,@fanch_mrl
1593336003179286530,@JLGagnaire
1593336003179286530,@psyaujourdhui
1593336031209816064,@backtolife_2023
1593336061408714752,@philippejuvin
1593336090181730307,@philippejuvin
1593336300970598400,@philippejuvin
1593336393572519937,@backtolife_2023
1593336395392745474,@philippejuvin
1593336465991286784,@Silvre11856889
1593336465991286784,@MathildePanot
1593336511973449728,@AllanicFabian
1593336511973449728,@philippejuvin
1593336520789876737,@philippejuvin
1593336589102505984,@philippejuvin
1593336697462394888,@GeWoessner
1593336697462394888,@France5tv
1593336759043198979,@philippejuvin
1593336761811456000,@ChatSecouriste
1593336782614994944,@VaxxersAnti
1593336783764393993,@tolgaozcelkk90
1593336786427826176,@backtolife_2023
1593336805138505728,@LatouryGermain
1593336854627090432,@LaGirafe1976
1593336916065271809,@backtolife_2023
1593336916451237889,@philippejuvin
1593336920028880897,@FemtoGodhand
1593336920028880897,@philippejuvin
1593337003046850610,@Fredisa04
1593337003046850610,@fanch_mrl
1593337050824155136,@tolgaozcelkk90
1593337101021577217,@Sarah41659531
1593337114753748992,@VaxxersAnti
1593337119493292035,@LouisEymard
1593337119493292035,@verity_france
1593337223893733379,@admanel
1593337223893733379,@zoomabus
1593337239202893824,@DiogenedArc
1593337239202893824,@CarolineFiat…
1593337249374035976,@backtolife_2023
1593337347684421633,@backtolife_2023
1593337452281954304,@backtolife_2023
1593337515989405696,@backtolife_2023
1593337539741585409,@backtolife_2023
1593337555700826113,@philippejuvin
1593337576110399491,@CarolineFiat54
1593337576110399491,@FiAssemblee
1593337576110399491,@FranceInsoumise
1593337595412549632,@ChicoduSud
1593337664518119424,@backtolife_2023
1593337702593826816,@Sarah41659531
1593337717735264257,@jechiesurlamodo
1593337785989169154,@tolgaozcelkk90
1593337795573161984,@marie_perello
1593337817853222915,@philippejuvin
1593337830624923649,@AllanicFabian
1593337830624923649,@philippejuvin
1593337906504126464,@ImmortelleXIII
1593337906504126464,@philippejuvin
1593338036087099397,@tolgaozcelkk90
1593338066370023427,@philippejuvin
1593338074360123392,@tolgaozcelkk90
1593338133558476803,@philippejuvin
1593338142676893702,@backtolife_2023
1593338145822605313,@philippejuvin
1593338176701140995,@BillHilly19
1593338176701140995,@SkeletorUSA
1593338176701140995,@ClareCraigPath
1593338198784090112,@LatouryGermain
1593338238277750786,@EricMassaud
1593338238277750786,@philippejuvin
1593338287259017216,@backtolife_2023
1593338365679738881,@HomoSap60422481
1593338365679738881,@aberteau_
1593338365679738881,@fernandfilback
1593338365679738881,@Arcom_fr
1593338437658152962,@philippejuvin
1593338447938338817,@Sarah41659531
1593338513688338434,@philippejuvin
1593338531912581121,@isis7792
1593338531912581121,@philippejuvin
1593338553743904768,@TomLinn14
1593338553743904768,@YouMayCallMeJay
1593338567165710336,@philippejuvin
1593338652540616705,@6NewsAU
1593338661101359107,@backtolife_2023
1593338672782479362,@backtolife_2023
1593338695658213377,@StephanCaraibes
1593338695658213377,@MireilleLarnac
1593338695658213377,@glaco64
1593338695658213377,@avocatine
1593338696597643264,@philippejuvin
1593338698229235712,@carly38493398
1593338698229235712,@Shatterhand77
1593338698229235712,@LieveToet
1593338763538735105,@chaperonrougeee
1593338763538735105,@OunetPik
1593338763538735105,@Vortex__13
1593338763538735105,@f_philippot
1593338779925975040,@Mounotella
1593338961686138882,@Margotte57000
1593338963913506816,@philippejuvin
1593338976332660736,@backtolife_2023
1593338984654163969,@backtolife_2023
1593339048906706945,@backtolife_2023
1593339101025026057,@tolgaozcelkk90
1593339143332970497,@backtolife_2023
1593339243623071744,@philippejuvin
1593339280092532737,@backtolife_2023
1593339321423204355,@backtolife_2023
1593339362502131715,@AllanicFabian
1593339362502131715,@philippejuvin
1593339516600942601,@philippejuvin
1593339670540296197,@backtolife_2023
1593339695794192388,@backtolife_2023
1593339711170412544,@backtolife_2023
1593339722524491776,@hypocondrialice
1593339722524491776,@ThierryBerthou6
1593339722524491776,@JulienAubert84
1593339722524491776,@Bayard_Editions
1593339726920126465,@mbesson73200
1593339726920126465,@morandiniblog
1593339747845423104,@Rob__Carson
1593339786932232192,@MattBinder
1593339915055628288,@AllanicFabian
1593339915055628288,@philippejuvin
1593339918717181961,@elieguckert
1593339954276491273,@philippejuvin
1593339979312275458,@TennispourFans
1593339979312275458,@
1593340000363487239,@IicheIIarem
1593340000363487239,@idrissaberkane
1593340074183229441,@DrFranckClarot
1593340091040137216,@EricMassaud
1593340091040137216,@philippejuvin
1593340094722850816,@tolgaozcelkk90
1593340123894226954,@EricMassaud
1593340123894226954,@philippejuvin
1593340235592728579,@tolgaozcelkk90
1593340255935111168,@backtolife_2023
1593340293981536262,@philippeGrandv1
1593340293981536262,@DimitraGrammat
1593340293981536262,@drnordsud
1593340323698188289,@gaetanfrederic
1593340323698188289,@KrollspellT
1593340323698188289,@AlphaWhisky67
