Tweet_ID,Mentions
1596821183332110337,@tcabarrus
1596821184506576900,@Ecrins6
1596821196661993475,@VLautard
1596821236536860672,@ChristianDubui
1596821237648756736,@AlexisPhilo
1596821244854554628,@MMeBlackSheep
1596821254434078721,@ecuanissa
1596821254434078721,@MattAudibert
1596821303432212482,@libe
1596821308809314305,@MouldeuxJean
1596821330183483392,@ilgiocane
1596821330183483392,@Sof9Eli
1596821330183483392,@tristanmf
1596821330183483392,@PhilipMaradan
1596821346205376513,@Sonic_urticant
1596821346205376513,@karbonkid1
1596821346205376513,@MaitreMacronard
1596821364685811716,@kerdouloc
1596821388329111552,@HomoSap60422481
1596821388329111552,@dupontaignan
1596821397841772544,@kzeppos987
1596821397841772544,@Dimitri081970
1596821397841772544,@lilianhuisje
1596821397841772544,@KNmeer1974
1596821443668455430,@LValait
1596821443668455430,@idrissaberkane
1596821494122020867,@hdomb56
1596821499268460544,@Resistance_SM
1596821507036319744,@BobLeCentriste
1596821566591229954,@AlexisPhilo
1596821588565020674,@tarsins
1596821677174067201,@caparavolo
1596821677174067201,@FabCamilla
1596821677174067201,@sopdamar
1596821677174067201,@femeninna
1596821734501797889,@AlexisPhilo
1596821769662648320,@MouldeuxJean
1596821770673475584,@Markarian_231
1596821770673475584,@France2tv
1596821783180902400,@StephaneVojetta
1596821783180902400,@alma_dufour
1596821783180902400,@AssembleeNat
1596821854215282690,@aragon_jb
1596821918673690624,@lionel_case
1596822105756237824,@LouisEymard
1596822105756237824,@AliceDesbiolles
1596822105756237824,@noel_sylviane
1596822149901058048,@dfinn
1596822149901058048,@DiamondandSilk
1596822156251627525,@LValait
1596822156251627525,@idrissaberkane
1596822200858050561,@IlanLamar
1596822203341082627,@JulianMWalker
1596822221817024512,@AlexisPhilo
1596822235528167424,@hdomb56
1596822252515119105,@LouisEymard
1596822252515119105,@AliceDesbiolles
1596822252515119105,@noel_sylviane
1596822291580870656,@AlexisPhilo
1596822360832688129,@ChristineLegen3
1596822360832688129,@bretag_romantiq
1596822360832688129,@Ludoriann
1596822360832688129,@andrebercoff
1596822360832688129,@FBerthout
