Tweet_ID,Mentions
1592663812251217920,@FCENM_ILY1
1592666619213647872,@FCENM_ILY1_JP
1592653782684684288,@harry_temp
1592653782684684288,@Jess89720553
1592653782684684288,@tenebra99
1592653782684684288,@Debunk_the_Funk
1592653782684684288,@Censored4sure
1592653782684684288,@sense_strand
1592654785953820672,@Esban_
1592655097095340032,@FXCREAMUSIC
1592655615486459904,@MsXXFast1
1592655615486459904,@kaufmac
1592655615486459904,@neiltyson
1592655625049473026,@FOXNEWS
1592655625049473026,@NEWSMAX
1592656226810482689,@Daniel_Dauvin
1592656226810482689,@Tu4n3r
1592656226810482689,@L_ThinkTank
1592656252475146241,@AloeWhale
1592656252475146241,@mjjacques9
1592656252475146241,@vgclements1
1592656334566326272,@goutraillon
1592656503961706500,@da_museu
1592656580142858240,@slooterman
1592656584844652545,@zeca_dirceu
1592656615895105536,@DawnTJ90
1592656615895105536,@TrevorDKidd1
1592656615895105536,@ProfEmilyOster
1592656679291613184,@MarieFleur3
1592656684518084608,@londeixp
1592657127209721856,@goutraillon
1592657236094255106,@SenseurFR
1592657236094255106,@Poulin2012
1592657258667986944,@jmhamiltonblog
1592657258667986944,@FOXNEWS
1592657258667986944,@NEWSMAX
1592657714362339329,@jmhamiltonblog
1592657714362339329,@FOXNEWS
1592657714362339329,@NEWSMAX
1592658402320470017,@ErikLoridan
1592658762254651393,@amandalhu
1592658951728164864,@jajacatha
1592658951728164864,@Fiuzafirmao2
1592658951728164864,@HermnioLopes1
1592659147254018048,@goutraillon
1592659396668313602,@DrCanuckMD
1592659601568468992,@ErikLoridan
1592660147201245184,@JamesLadbroke
1592660588769206272,@Pro_Fracking
1592660588769206272,@aust1816
1592660588769206272,@ruthhayhurst
1592661036909604864,@RomarizFelipe
1592661036909604864,@carlos_seo
1592661036909604864,@cegadede
1592661345937158144,@GrablyR
1592661393513140224,@thmlnl
1592662095111524352,@DIVIZIO1
1592662530652241922,@AlanLopesRio
1592662561186787328,@MoriartyLab
1592662561186787328,@GovCanHealth
1592662712605343746,@lawhawk
1592662712605343746,@RandPaul
1592662764967047169,@AloeWhale
1592662764967047169,@ThanosStu84
1592662764967047169,@vgclements1
1592662958534176769,@woodpecker_view
1592662958534176769,@ChrisTheTankMan
1592662958534176769,@irgarner
1592662978746515456,@TristanKamin
1592663152780378112,@KaCurrie_45
1592663210347606018,@Mariapropofol
1592664056389046274,@LesmediasM
1592664056389046274,@MoniquePlaza3
1592664056389046274,@CocovidDundee
1592664166103646208,@tracy_lehane
1592664166103646208,@ByrdeJane
1592664166103646208,@CALUSA18
1592664166103646208,@firstnamerando
1592664166103646208,@jrpsaki
1592664166103646208,@POTUS
1592664264648847360,@VICENews
1592664733853024257,@VikiLovesFACS
1592664733853024257,@guedalia
1592664783375208450,@ErikLoridan
1592664991634976768,@AlbieroFelipe
1592664991634976768,@RejanePaiva
1592664991634976768,@rssolla
1592664991634976768,@luztoibn
1592664991634976768,@cariocadelegado
1592665179850170369,@JM_Bigard
1592665179850170369,"@Cyrilhanouna,"
1592665272120676354,@FredGaulois
1592665285546643456,@stephen1e4
1592665285546643456,@TinFoilAwards
1592665285546643456,@KateMur06404504
1592665285546643456,@DrAseemMalhotra
1592665419965685762,@CyntiaMiranda16
1592665419965685762,@Nandoguittar
1592665419965685762,@RajaoPhD
1592665651109597184,@LouTheSceptic
