Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1592114560248713218,en,NO,NO,0,0,"",Mon Nov 14 11:17:45 +0000 2022
1592110096137342978,fr,NO,NO,1,0,"",Mon Nov 14 11:00:01 +0000 2022
1592110177154744320,fr,NO,NO,1,0,"",Mon Nov 14 11:00:20 +0000 2022
1592110467559964672,fr,NO,NO,542,356,"",Mon Nov 14 11:01:30 +0000 2022
1592110566516072449,fr,NO,YES,0,356,"",Mon Nov 14 11:01:53 +0000 2022
1592110658287722496,fr,NO,YES,0,356,"",Mon Nov 14 11:02:15 +0000 2022
1592110707579183104,en,NO,NO,12,0,"",Mon Nov 14 11:02:27 +0000 2022
1592110813883822081,fr,NO,YES,0,359,"",Mon Nov 14 11:02:52 +0000 2022
1592110828102496257,fr,NO,YES,0,359,"",Mon Nov 14 11:02:56 +0000 2022
1592111106293735425,fr,NO,YES,0,20,"",Mon Nov 14 11:04:02 +0000 2022
1592111215362592769,fr,NO,NO,3,1,"",Mon Nov 14 11:04:28 +0000 2022
1592111223675428865,fr,NO,YES,0,359,"",Mon Nov 14 11:04:30 +0000 2022
1592111392211013634,nl,NO,NO,0,0,"",Mon Nov 14 11:05:10 +0000 2022
1592111530778460160,en,NO,NO,3,0,"",Mon Nov 14 11:05:43 +0000 2022
1592111785645346816,fr,NO,YES,0,359,"",Mon Nov 14 11:06:44 +0000 2022
1592111862929592320,fr,NO,YES,0,359,"",Mon Nov 14 11:07:02 +0000 2022
1592111950968000512,pt,NO,YES,0,8,"",Mon Nov 14 11:07:23 +0000 2022
1592111990130212866,fr,NO,YES,0,1,"",Mon Nov 14 11:07:33 +0000 2022
1592112209127407617,fr,NO,YES,0,364,"",Mon Nov 14 11:08:25 +0000 2022
1592112214479372293,fr,NO,NO,0,0,"",Mon Nov 14 11:08:26 +0000 2022
1592112482554085376,fr,NO,YES,0,364,"",Mon Nov 14 11:09:30 +0000 2022
1592112509548630016,en,NO,NO,0,0,"",Mon Nov 14 11:09:36 +0000 2022
1592112556210270208,en,NO,NO,8,0,"",Mon Nov 14 11:09:48 +0000 2022
1592112648031993861,fr,NO,YES,0,365,"",Mon Nov 14 11:10:09 +0000 2022
1592112714163572736,fr,NO,YES,0,365,"",Mon Nov 14 11:10:25 +0000 2022
1592112720169816064,en,NO,NO,0,0,"",Mon Nov 14 11:10:27 +0000 2022
1592112763618627584,fr,NO,NO,0,0,"",Mon Nov 14 11:10:37 +0000 2022
1592112847601160193,fr,NO,YES,0,8,"",Mon Nov 14 11:10:57 +0000 2022
1592112896217321473,fr,NO,YES,0,367,"",Mon Nov 14 11:11:09 +0000 2022
1592112925380349952,fr,NO,NO,0,0,"",Mon Nov 14 11:11:16 +0000 2022
1592112939276042241,es,NO,NO,0,0,"",Mon Nov 14 11:11:19 +0000 2022
1592112949753442304,en,NO,YES,0,9,"",Mon Nov 14 11:11:21 +0000 2022
1592113034537086977,nl,NO,NO,0,0,"",Mon Nov 14 11:11:42 +0000 2022
1592113225029525504,fr,NO,YES,0,77,"",Mon Nov 14 11:12:27 +0000 2022
1592113457343651841,fr,NO,YES,0,370,"",Mon Nov 14 11:13:22 +0000 2022
1592113460216991744,fr,NO,YES,0,370,"",Mon Nov 14 11:13:23 +0000 2022
1592113558858633216,fr,NO,YES,0,370,"",Mon Nov 14 11:13:47 +0000 2022
1592113791642521602,fr,NO,NO,1,0,"",Mon Nov 14 11:14:42 +0000 2022
1592113886924505090,en,NO,NO,3,0,"",Mon Nov 14 11:15:05 +0000 2022
1592113910165000192,fr,NO,YES,0,370,"",Mon Nov 14 11:15:10 +0000 2022
1592114032441540608,fr,NO,NO,0,0,"",Mon Nov 14 11:15:40 +0000 2022
1592114211575971840,fr,NO,YES,0,28,"",Mon Nov 14 11:16:22 +0000 2022
1592114213220229133,en,NO,NO,2,0,"",Mon Nov 14 11:16:23 +0000 2022
1592114227778551809,pt,NO,NO,0,0,"",Mon Nov 14 11:16:26 +0000 2022
1592114301040742401,fr,NO,YES,0,370,"",Mon Nov 14 11:16:44 +0000 2022
1592114312478609409,fr,NO,NO,1,0,"",Mon Nov 14 11:16:46 +0000 2022
1592114377880117251,fr,NO,YES,0,370,"",Mon Nov 14 11:17:02 +0000 2022
1592114425657720832,it,NO,NO,2,0,"",Mon Nov 14 11:17:13 +0000 2022
1592114443588349952,fr,NO,YES,0,375,"",Mon Nov 14 11:17:18 +0000 2022
1592114459275034624,en,NO,YES,0,5,"",Mon Nov 14 11:17:21 +0000 2022
1592114539356733442,pt,NO,NO,2,0,"",Mon Nov 14 11:17:40 +0000 2022
1592114603751747586,en,NO,YES,0,5,"",Mon Nov 14 11:17:56 +0000 2022
1592114827601788929,fr,NO,YES,0,378,"",Mon Nov 14 11:18:49 +0000 2022
1592115170813554693,fr,NO,YES,0,22,"",Mon Nov 14 11:20:11 +0000 2022
1592115266992873475,fr,NO,YES,0,380,"",Mon Nov 14 11:20:34 +0000 2022
1592115334982651904,fr,NO,YES,0,380,"",Mon Nov 14 11:20:50 +0000 2022
1592115719788978176,fr,NO,YES,0,21,"",Mon Nov 14 11:22:22 +0000 2022
1592115779037986816,fr,NO,YES,0,381,"",Mon Nov 14 11:22:36 +0000 2022
1592115856188002305,fr,NO,YES,0,382,"",Mon Nov 14 11:22:54 +0000 2022
1592116024446685184,fr,NO,YES,0,382,"",Mon Nov 14 11:23:34 +0000 2022
1592116055983685632,fr,NO,NO,1,0,"",Mon Nov 14 11:23:42 +0000 2022
1592116279846244352,fr,NO,YES,0,382,"",Mon Nov 14 11:24:35 +0000 2022
