Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1597458655229534208,ko,NO,YES,0,46,"",Tue Nov 29 05:13:17 +0000 2022
1597460528686735361,ko,NO,YES,0,46,"",Tue Nov 29 05:20:44 +0000 2022
1597463909002543104,ko,NO,YES,0,167,"",Tue Nov 29 05:34:10 +0000 2022
1597455973446451201,en,NO,YES,0,19,"",Tue Nov 29 05:02:38 +0000 2022
1597455989439365120,en,NO,YES,0,4,"",Tue Nov 29 05:02:41 +0000 2022
1597456457548513282,fr,NO,YES,0,133,"",Tue Nov 29 05:04:33 +0000 2022
1597456474854158338,en,NO,NO,0,0,"",Tue Nov 29 05:04:37 +0000 2022
1597456593385553923,fr,NO,YES,0,3,"",Tue Nov 29 05:05:05 +0000 2022
1597456672032952320,fr,NO,YES,0,887,"",Tue Nov 29 05:05:24 +0000 2022
1597456903390777344,en,NO,NO,52,2,"",Tue Nov 29 05:06:19 +0000 2022
1597457237764542464,en,NO,YES,0,2,"",Tue Nov 29 05:07:39 +0000 2022
1597457251853557760,en,NO,NO,0,0,"",Tue Nov 29 05:07:42 +0000 2022
1597457344451194881,fr,NO,NO,0,0,"",Tue Nov 29 05:08:04 +0000 2022
1597457490706575360,fr,NO,NO,0,0,"",Tue Nov 29 05:08:39 +0000 2022
1597457497253883904,fr,NO,YES,0,1488,"",Tue Nov 29 05:08:41 +0000 2022
1597457746005479424,en,NO,NO,0,0,"",Tue Nov 29 05:09:40 +0000 2022
1597457759280459777,fr,NO,YES,0,69,"",Tue Nov 29 05:09:43 +0000 2022
1597457774681546752,fr,NO,NO,1,0,"",Tue Nov 29 05:09:47 +0000 2022
1597457807171031040,fr,NO,YES,0,90,"",Tue Nov 29 05:09:55 +0000 2022
1597457934967275520,fr,NO,YES,0,90,"",Tue Nov 29 05:10:25 +0000 2022
1597457971403198465,fr,NO,YES,0,152,"",Tue Nov 29 05:10:34 +0000 2022
1597458016009621504,en,NO,NO,0,0,"",Tue Nov 29 05:10:45 +0000 2022
1597458234587381760,en,NO,NO,3,0,"",Tue Nov 29 05:11:37 +0000 2022
1597458622027825152,sv,NO,YES,0,3,"",Tue Nov 29 05:13:09 +0000 2022
1597458777514872833,fr,NO,YES,0,124,"",Tue Nov 29 05:13:46 +0000 2022
1597458978258456576,fr,NO,NO,10,0,"",Tue Nov 29 05:14:34 +0000 2022
1597459007941185536,es,NO,NO,0,0,"",Tue Nov 29 05:14:41 +0000 2022
1597459366520627200,fr,NO,YES,0,70,"",Tue Nov 29 05:16:06 +0000 2022
1597459471881555969,fr,NO,YES,0,1488,"",Tue Nov 29 05:16:32 +0000 2022
1597460045192925184,en,NO,NO,0,0,"",Tue Nov 29 05:18:48 +0000 2022
1597460146023591936,fr,NO,YES,0,1488,"",Tue Nov 29 05:19:12 +0000 2022
1597460530348068865,fr,NO,YES,0,14,"",Tue Nov 29 05:20:44 +0000 2022
1597460555391913984,fr,NO,YES,0,133,"",Tue Nov 29 05:20:50 +0000 2022
1597460950487273473,fr,NO,YES,0,1488,"",Tue Nov 29 05:22:24 +0000 2022
