Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1590884482449477632,ko,NO,YES,0,62,"",Fri Nov 11 01:49:52 +0000 2022
1590871975098191872,en,NO,NO,1,0,"",Fri Nov 11 01:00:10 +0000 2022
1590872308474052608,en,NO,NO,1,0,"",Fri Nov 11 01:01:29 +0000 2022
1590872475784876032,pt,NO,YES,0,8,"",Fri Nov 11 01:02:09 +0000 2022
1590872578775601153,nl,NO,NO,3,0,"",Fri Nov 11 01:02:34 +0000 2022
1590872701404692484,fr,NO,YES,0,48,"",Fri Nov 11 01:03:03 +0000 2022
1590872773471404032,fr,NO,YES,0,278,"",Fri Nov 11 01:03:20 +0000 2022
1590873067462725633,pt,NO,YES,0,66,"",Fri Nov 11 01:04:30 +0000 2022
1590873203395940352,nl,NO,NO,2,0,"",Fri Nov 11 01:05:03 +0000 2022
1590873244407517184,und,NO,NO,0,0,"",Fri Nov 11 01:05:13 +0000 2022
1590873257594728449,fr,NO,YES,0,318,"",Fri Nov 11 01:05:16 +0000 2022
1590873449190522880,en,NO,YES,0,342,"",Fri Nov 11 01:06:01 +0000 2022
1590873744343695361,nl,NO,NO,0,0,"",Fri Nov 11 01:07:12 +0000 2022
1590873961918877696,en,NO,NO,0,0,"",Fri Nov 11 01:08:04 +0000 2022
1590874188616990720,fr,NO,YES,0,11,"",Fri Nov 11 01:08:58 +0000 2022
1590874199966765056,pt,NO,NO,0,0,"",Fri Nov 11 01:09:00 +0000 2022
1590874602712207360,pt,NO,NO,0,0,"",Fri Nov 11 01:10:36 +0000 2022
1590875300585668608,fr,NO,NO,1,0,"",Fri Nov 11 01:13:23 +0000 2022
1590875352502800386,fr,NO,YES,0,150,"",Fri Nov 11 01:13:35 +0000 2022
1590875362069999618,pt,NO,YES,0,8,"",Fri Nov 11 01:13:38 +0000 2022
1590875399680102400,en,NO,NO,0,0,"",Fri Nov 11 01:13:46 +0000 2022
1590875497843810304,en,NO,NO,0,0,"",Fri Nov 11 01:14:10 +0000 2022
1590875587811631105,en,NO,YES,0,35,"",Fri Nov 11 01:14:31 +0000 2022
1590875652084973570,en,NO,YES,0,1,"",Fri Nov 11 01:14:47 +0000 2022
1590875773849972737,en,NO,NO,62,6,"",Fri Nov 11 01:15:16 +0000 2022
1590875947552894977,cs,NO,NO,0,0,"",Fri Nov 11 01:15:57 +0000 2022
1590876076276088832,en,NO,YES,0,342,"",Fri Nov 11 01:16:28 +0000 2022
1590876096215814146,fr,NO,YES,0,322,"",Fri Nov 11 01:16:33 +0000 2022
1590876236427169793,en,NO,YES,0,342,"",Fri Nov 11 01:17:06 +0000 2022
1590876350793256960,en,NO,NO,0,0,"",Fri Nov 11 01:17:33 +0000 2022
1590876433622396929,en,NO,YES,0,35,"",Fri Nov 11 01:17:53 +0000 2022
1590876480116232193,fr,NO,YES,0,1,"",Fri Nov 11 01:18:04 +0000 2022
1590876675734401026,en,NO,NO,0,0,"",Fri Nov 11 01:18:51 +0000 2022
1590876707434926081,en,NO,NO,0,0,"",Fri Nov 11 01:18:58 +0000 2022
1590877125468639234,fr,NO,YES,0,48,"",Fri Nov 11 01:20:38 +0000 2022
1590877130736685057,en,NO,YES,0,342,"",Fri Nov 11 01:20:39 +0000 2022
1590877258893647875,fr,NO,YES,0,1,"",Fri Nov 11 01:21:10 +0000 2022
1590877421733314561,fr,NO,YES,0,2,"",Fri Nov 11 01:21:49 +0000 2022
1590877551890956289,fr,NO,YES,0,94,"",Fri Nov 11 01:22:20 +0000 2022
1590877664403152898,en,NO,YES,0,58,"",Fri Nov 11 01:22:46 +0000 2022
1590877825745444864,fr,NO,YES,0,324,"",Fri Nov 11 01:23:25 +0000 2022
1590877832791851009,en,NO,NO,0,0,"",Fri Nov 11 01:23:27 +0000 2022
1590878164108005376,en,NO,YES,0,342,"",Fri Nov 11 01:24:46 +0000 2022
1590878446413938690,fr,NO,NO,0,0,"",Fri Nov 11 01:25:53 +0000 2022
1590878600546648069,en,NO,NO,0,0,"",Fri Nov 11 01:26:30 +0000 2022
1590878646482661376,pt,NO,NO,0,0,"",Fri Nov 11 01:26:41 +0000 2022
1590879657263788032,fr,NO,YES,0,48,"",Fri Nov 11 01:30:42 +0000 2022
1590879718810976258,en,NO,YES,0,342,"",Fri Nov 11 01:30:56 +0000 2022
1590879884120834048,en,NO,NO,0,0,"",Fri Nov 11 01:31:36 +0000 2022
1590880001657667584,fr,NO,YES,0,327,"",Fri Nov 11 01:32:04 +0000 2022
1590880221808726017,en,NO,YES,0,342,"",Fri Nov 11 01:32:56 +0000 2022
1590881117212921857,en,NO,NO,0,0,"",Fri Nov 11 01:36:30 +0000 2022
1590881144945491971,en,NO,NO,0,0,"",Fri Nov 11 01:36:36 +0000 2022
1590881239795630080,en,NO,YES,0,10,"",Fri Nov 11 01:36:59 +0000 2022
1590881323954376704,fr,NO,YES,0,96,"",Fri Nov 11 01:37:19 +0000 2022
1590881333387354112,en,NO,YES,0,342,"",Fri Nov 11 01:37:21 +0000 2022
1590881544654458885,fr,NO,YES,0,329,"",Fri Nov 11 01:38:12 +0000 2022
1590881603600887808,el,NO,NO,0,0,"",Fri Nov 11 01:38:26 +0000 2022
1590881766646378496,fr,NO,NO,0,0,"",Fri Nov 11 01:39:04 +0000 2022
1590881773072044032,fr,NO,NO,0,0,"",Fri Nov 11 01:39:06 +0000 2022
1590881912209682432,en,NO,NO,0,0,"",Fri Nov 11 01:39:39 +0000 2022
1590882111136813056,fr,NO,YES,0,96,"",Fri Nov 11 01:40:27 +0000 2022
1590882275876810752,en,NO,YES,0,342,"",Fri Nov 11 01:41:06 +0000 2022
1590882837917749248,en,NO,YES,0,342,"",Fri Nov 11 01:43:20 +0000 2022
1590883121037455361,fr,NO,NO,0,0,"",Fri Nov 11 01:44:27 +0000 2022
1590883239576875008,fr,NO,YES,0,332,"",Fri Nov 11 01:44:56 +0000 2022
1590883536210432000,fr,NO,YES,0,96,"",Fri Nov 11 01:46:06 +0000 2022
1590883614870630401,en,NO,YES,0,342,"",Fri Nov 11 01:46:25 +0000 2022
1590884190538452992,fr,NO,YES,0,416,"",Fri Nov 11 01:48:42 +0000 2022
1590884317735292930,nl,NO,NO,2,0,"",Fri Nov 11 01:49:13 +0000 2022
1590884380234645505,en,NO,YES,0,35,"",Fri Nov 11 01:49:28 +0000 2022
1590884395346710528,en,NO,YES,0,342,"",Fri Nov 11 01:49:31 +0000 2022
1590884461830627330,pt,NO,NO,0,0,"",Fri Nov 11 01:49:47 +0000 2022
1590884539777302528,pt,NO,NO,0,0,"",Fri Nov 11 01:50:06 +0000 2022
1590884708464087040,en,NO,NO,0,0,"",Fri Nov 11 01:50:46 +0000 2022
1590886065556291585,fr,NO,YES,0,334,"",Fri Nov 11 01:56:09 +0000 2022
1590886369173602306,en,NO,YES,0,1,"",Fri Nov 11 01:57:22 +0000 2022
1590886870803963904,en,NO,NO,1,0,"",Fri Nov 11 01:59:21 +0000 2022
1590873003386179587,en,NO,NO,0,0,"",Fri Nov 11 01:04:15 +0000 2022
1590873003512168449,en,NO,NO,0,0,"",Fri Nov 11 01:04:15 +0000 2022
1590874263535456256,en,NO,NO,3,0,"",Fri Nov 11 01:09:16 +0000 2022
