Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1596443670936518656,fr,NO,NO,0,0,"",Sat Nov 26 10:00:06 +0000 2022
1596443692990332929,fr,NO,YES,0,1752,"",Sat Nov 26 10:00:11 +0000 2022
1596443703052492800,fr,NO,YES,0,594,"",Sat Nov 26 10:00:13 +0000 2022
1596443728415449088,fr,NO,YES,0,28,"",Sat Nov 26 10:00:20 +0000 2022
1596443741442936832,fr,NO,YES,0,534,"",Sat Nov 26 10:00:23 +0000 2022
1596443744303480835,fr,NO,YES,0,1472,"",Sat Nov 26 10:00:23 +0000 2022
1596443752821919744,fr,NO,YES,0,22,"",Sat Nov 26 10:00:25 +0000 2022
1596443763487932418,fr,NO,NO,0,0,"",Sat Nov 26 10:00:28 +0000 2022
1596443771201523712,fr,NO,YES,0,912,"",Sat Nov 26 10:00:30 +0000 2022
1596443790935457797,fr,NO,YES,0,56,"",Sat Nov 26 10:00:34 +0000 2022
1596443814163812352,fr,NO,YES,0,534,"",Sat Nov 26 10:00:40 +0000 2022
1596443824649560067,fr,NO,YES,0,596,"",Sat Nov 26 10:00:42 +0000 2022
1596443835126583297,fr,NO,YES,0,461,"",Sat Nov 26 10:00:45 +0000 2022
1596443858921230337,fr,NO,NO,0,0,"",Sat Nov 26 10:00:51 +0000 2022
1596443893356457986,en,NO,YES,0,7,"",Sat Nov 26 10:00:59 +0000 2022
1596443899593396227,fr,NO,YES,0,15,"",Sat Nov 26 10:01:00 +0000 2022
1596443910984945665,fr,NO,YES,0,1406,"",Sat Nov 26 10:01:03 +0000 2022
1596443942777917440,fr,NO,YES,0,193,"",Sat Nov 26 10:01:11 +0000 2022
1596443962658770944,fr,NO,NO,0,0,"",Sat Nov 26 10:01:15 +0000 2022
1596443970850414592,fr,NO,NO,0,0,"",Sat Nov 26 10:01:17 +0000 2022
1596443980291768321,fr,NO,NO,0,0,"",Sat Nov 26 10:01:20 +0000 2022
1596443996108488704,fr,NO,YES,0,7,"",Sat Nov 26 10:01:23 +0000 2022
1596444013791707136,fr,NO,YES,0,25,"",Sat Nov 26 10:01:28 +0000 2022
1596444017792778240,fr,NO,YES,0,26,"",Sat Nov 26 10:01:28 +0000 2022
1596444021248778240,fr,NO,NO,0,0,"",Sat Nov 26 10:01:29 +0000 2022
1596444062571110402,fr,NO,NO,0,0,"",Sat Nov 26 10:01:39 +0000 2022
1596444080929927169,fr,NO,YES,0,15,"",Sat Nov 26 10:01:44 +0000 2022
1596444081982701568,fr,NO,YES,0,534,"",Sat Nov 26 10:01:44 +0000 2022
1596444083454545921,fr,NO,YES,0,633,"",Sat Nov 26 10:01:44 +0000 2022
1596444085220691968,fr,NO,YES,0,461,"",Sat Nov 26 10:01:45 +0000 2022
1596444085895700480,fr,NO,YES,0,7,"",Sat Nov 26 10:01:45 +0000 2022
1596444118020132864,fr,NO,YES,0,25,"",Sat Nov 26 10:01:52 +0000 2022
1596444120071176192,fr,NO,YES,0,47,"",Sat Nov 26 10:01:53 +0000 2022
