Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1591098468780900352,en,NO,NO,0,0,"",Fri Nov 11 16:00:10 +0000 2022
1591098540440588289,fr,NO,YES,0,168,"",Fri Nov 11 16:00:27 +0000 2022
1591098656228536320,pt,NO,NO,0,0,"",Fri Nov 11 16:00:55 +0000 2022
1591098955567624193,en,NO,NO,2,1,"",Fri Nov 11 16:02:06 +0000 2022
1591099130406846464,ca,NO,NO,0,0,"",Fri Nov 11 16:02:48 +0000 2022
1591099316411990016,en,NO,YES,0,5,"",Fri Nov 11 16:03:32 +0000 2022
1591099398301196288,fr,NO,NO,0,0,"",Fri Nov 11 16:03:52 +0000 2022
1591099797439668225,fr,NO,YES,0,4,"",Fri Nov 11 16:05:27 +0000 2022
1591099846726852608,en,NO,NO,0,0,"",Fri Nov 11 16:05:39 +0000 2022
1591100062758739972,fr,NO,YES,0,86,"",Fri Nov 11 16:06:30 +0000 2022
1591100498522038274,en,NO,YES,0,1,"",Fri Nov 11 16:08:14 +0000 2022
1591100508365885440,fr,NO,YES,0,415,"",Fri Nov 11 16:08:17 +0000 2022
1591101026312294402,pt,NO,NO,1,0,"",Fri Nov 11 16:10:20 +0000 2022
1591101026647814144,fr,NO,NO,0,0,"",Fri Nov 11 16:10:20 +0000 2022
1591101141177073665,en,NO,NO,3,0,"",Fri Nov 11 16:10:47 +0000 2022
1591101225998901248,en,NO,NO,0,0,"",Fri Nov 11 16:11:08 +0000 2022
1591101298623057922,fr,NO,YES,0,416,"",Fri Nov 11 16:11:25 +0000 2022
1591101372644339714,fr,NO,NO,1,0,"",Fri Nov 11 16:11:43 +0000 2022
1591101463706894337,fr,NO,YES,0,0,"",Fri Nov 11 16:12:04 +0000 2022
1591101674818777088,fr,NO,YES,0,168,"",Fri Nov 11 16:12:55 +0000 2022
1591102317369397248,fr,NO,YES,0,168,"",Fri Nov 11 16:15:28 +0000 2022
1591102436059406338,fr,NO,YES,0,10,"",Fri Nov 11 16:15:56 +0000 2022
1591102688540135429,fr,NO,YES,0,139,"",Fri Nov 11 16:16:56 +0000 2022
1591102923039469568,fr,NO,NO,0,0,"",Fri Nov 11 16:17:52 +0000 2022
1591103042392580098,fr,NO,YES,0,416,"",Fri Nov 11 16:18:21 +0000 2022
1591103090903715841,en,NO,NO,2,0,"",Fri Nov 11 16:18:32 +0000 2022
1591103170624639039,en,NO,NO,0,0,"",Fri Nov 11 16:18:51 +0000 2022
1591103264237703168,en,NO,YES,0,345,"",Fri Nov 11 16:19:14 +0000 2022
1591103337922842637,nl,NO,NO,0,0,"",Fri Nov 11 16:19:31 +0000 2022
1591103397754982402,en,NO,NO,0,0,"",Fri Nov 11 16:19:45 +0000 2022
1591103703683301377,fr,NO,NO,1,0,"",Fri Nov 11 16:20:58 +0000 2022
1591103813213376514,en,NO,YES,0,5,"",Fri Nov 11 16:21:25 +0000 2022
1591103833844764674,fr,NO,NO,49,0,"",Fri Nov 11 16:21:29 +0000 2022
1591103958856392704,en,NO,NO,1,0,"",Fri Nov 11 16:21:59 +0000 2022
1591103977688420364,fr,NO,NO,0,0,"",Fri Nov 11 16:22:04 +0000 2022
1591104066360598528,fr,NO,YES,0,415,"",Fri Nov 11 16:22:25 +0000 2022
1591104067702771713,fr,NO,YES,0,441,"",Fri Nov 11 16:22:25 +0000 2022
1591104245297995776,fr,NO,YES,0,169,"",Fri Nov 11 16:23:08 +0000 2022
1591104246917001216,fr,NO,NO,0,0,"",Fri Nov 11 16:23:08 +0000 2022
1591104281372807168,en,NO,NO,0,0,"",Fri Nov 11 16:23:16 +0000 2022
1591104339590139905,en,NO,NO,1,0,"",Fri Nov 11 16:23:30 +0000 2022
1591104553461907456,fr,NO,NO,6,0,"",Fri Nov 11 16:24:21 +0000 2022
1591104617756397568,fr,NO,YES,0,86,"",Fri Nov 11 16:24:36 +0000 2022
1591104664954490882,pt,NO,NO,0,0,"",Fri Nov 11 16:24:48 +0000 2022
1591104760060735494,fr,NO,YES,0,21,"",Fri Nov 11 16:25:10 +0000 2022
1591105061312425988,fr,NO,NO,0,0,"",Fri Nov 11 16:26:22 +0000 2022
