Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1587270258544750592,ko,NO,YES,0,40,"",Tue Nov 01 02:28:14 +0000 2022
1587270349309489152,ko,NO,YES,0,36,"",Tue Nov 01 02:28:35 +0000 2022
1587263151959048192,en,NO,YES,0,3257,"",Tue Nov 01 02:00:00 +0000 2022
1587263152281952257,en,NO,NO,1,0,"",Tue Nov 01 02:00:00 +0000 2022
1587263152667992066,en,NO,NO,7,4,"",Tue Nov 01 02:00:00 +0000 2022
1587263152797933570,en,NO,NO,6,3,"",Tue Nov 01 02:00:00 +0000 2022
1587263153057853446,pt,NO,NO,18,4,"",Tue Nov 01 02:00:00 +0000 2022
1587263153192198144,en,NO,NO,0,0,"",Tue Nov 01 02:00:00 +0000 2022
1587263153414541312,pt,NO,YES,0,4962,"",Tue Nov 01 02:00:00 +0000 2022
1587263153439617024,es,NO,NO,0,0,"",Tue Nov 01 02:00:00 +0000 2022
1587263153577959426,en,NO,NO,0,0,"",Tue Nov 01 02:00:00 +0000 2022
1587263153733246979,es,NO,NO,0,0,"",Tue Nov 01 02:00:00 +0000 2022
1587263154043633668,en,NO,YES,0,15,"",Tue Nov 01 02:00:00 +0000 2022
1587263154232369152,pt,NO,YES,0,2186,"",Tue Nov 01 02:00:00 +0000 2022
1587263154706432002,es,NO,NO,0,0,"",Tue Nov 01 02:00:00 +0000 2022
1587263154773725184,en,NO,YES,0,896,"",Tue Nov 01 02:00:00 +0000 2022
1587263154794405889,en,NO,YES,0,15643,"",Tue Nov 01 02:00:00 +0000 2022
1587263154794688512,en,NO,NO,0,0,"",Tue Nov 01 02:00:00 +0000 2022
1587263155713064961,en,NO,NO,1,1,"",Tue Nov 01 02:00:00 +0000 2022
1587263155947728897,en,NO,NO,4,3,"",Tue Nov 01 02:00:00 +0000 2022
1587263155981402112,en,NO,NO,0,0,"",Tue Nov 01 02:00:00 +0000 2022
1587263155985448962,ja,NO,NO,12,10,"",Tue Nov 01 02:00:00 +0000 2022
1587263156480516099,en,NO,NO,0,0,"",Tue Nov 01 02:00:01 +0000 2022
1587263156749225984,en,NO,YES,0,3543,"",Tue Nov 01 02:00:01 +0000 2022
1587263156807770112,en,NO,YES,0,1785,"",Tue Nov 01 02:00:01 +0000 2022
