"","V1","V2","V3"
"167","2022_10_28_04","fa",4
"168","2022_10_28_04","fi",26
"169","2022_10_28_04","fr",884
"170","2022_10_28_04","hi",101
"171","2022_10_28_04","ht",7
"172","2022_10_28_04","in",536
"173","2022_10_28_04","is",3
"174","2022_10_28_04","it",212
"175","2022_10_28_04","iw",1
"176","2022_10_28_04","ja",623
"177","2022_10_28_04","kn",2
"178","2022_10_28_04","ko",115
"179","2022_10_28_04","lt",3
"180","2022_10_28_04","lv",2
"181","2022_10_28_04","ml",2
"182","2022_10_28_04","nl",51
"183","2022_10_28_04","no",5
"184","2022_10_28_04","pa",1
"185","2022_10_28_04","pl",61
"186","2022_10_28_04","pt",1005
"187","2022_10_28_04","ro",11
"188","2022_10_28_04","ru",23
"189","2022_10_28_04","sl",1
"190","2022_10_28_04","sv",9
"191","2022_10_28_04","ta",3
"192","2022_10_28_04","te",4
"193","2022_10_28_04","th",131
"194","2022_10_28_04","tl",168
"195","2022_10_28_04","tr",26
"196","2022_10_28_04","uk",16
"197","2022_10_28_04","und",187
"198","2022_10_28_04","zh",51
"199","2022_10_28_05","ar",5
"200","2022_10_28_05","bg",5
"201","2022_10_28_05","bn",1
"202","2022_10_28_05","ca",30
"203","2022_10_28_05","cs",7
"204","2022_10_28_05","cy",3
"205","2022_10_28_05","da",17
"206","2022_10_28_05","de",417
"207","2022_10_28_05","el",32
"208","2022_10_28_05","en",14991
"209","2022_10_28_05","es",1125
"210","2022_10_28_05","et",16
"211","2022_10_28_05","eu",2
"212","2022_10_28_05","fa",11
"213","2022_10_28_05","fi",24
"214","2022_10_28_05","fr",1362
"215","2022_10_28_05","hi",87
"216","2022_10_28_05","ht",10
"217","2022_10_28_05","hu",2
"218","2022_10_28_05","in",389
"219","2022_10_28_05","is",3
"220","2022_10_28_05","it",416
"221","2022_10_28_05","iw",3
"222","2022_10_28_05","ja",659
"223","2022_10_28_05","ko",86
"224","2022_10_28_05","lt",6
"225","2022_10_28_05","lv",2
"226","2022_10_28_05","ml",1
"227","2022_10_28_05","mr",3
"228","2022_10_28_05","ne",1
"229","2022_10_28_05","nl",108
"230","2022_10_28_05","no",7
"231","2022_10_28_05","or",1
"232","2022_10_28_05","pl",74
"233","2022_10_28_05","pt",562
"234","2022_10_28_05","ro",10
"235","2022_10_28_05","ru",41
"236","2022_10_28_05","sl",13
"237","2022_10_28_05","sv",18
"238","2022_10_28_05","ta",4
"239","2022_10_28_05","te",5
"240","2022_10_28_05","th",99
"241","2022_10_28_05","tl",189
"242","2022_10_28_05","tr",65
"243","2022_10_28_05","uk",18
"244","2022_10_28_05","und",290
"245","2022_10_28_05","ur",1
"246","2022_10_28_05","vi",4
"247","2022_10_28_05","zh",45
"248","2022_10_28_06","ar",5
"249","2022_10_28_06","bg",7
"250","2022_10_28_06","bn",3
"251","2022_10_28_06","ca",41
