"","date","county","state","cases","deaths","Tweet_count"
"1","2020-01-21","snohomish","washington",1,0,0
"2","2020-01-22","districtof columbia","district of columbia",0,0,1
"3","2020-01-22","dekalb","georgia",0,0,2
"4","2020-01-22","suffolk","massachusetts",0,0,1
"5","2020-01-22","clark","nevada",0,0,1
"6","2020-01-22","newyork","new york",0,0,1
"7","2020-01-22","snohomish","washington",1,0,0
"8","2020-01-23","losangeles","california",0,0,1
"9","2020-01-23","sanfrancisco","california",0,0,4
"10","2020-01-23","dekalb","georgia",0,0,1
"11","2020-01-23","fulton","georgia",0,0,1
"12","2020-01-23","multnomah","oregon",0,0,1
"13","2020-01-23","lancaster","pennsylvania",0,0,3
"14","2020-01-23","snohomish","washington",1,0,0
"15","2020-01-24","losangeles","california",0,0,3
"16","2020-01-24","sacramento","california",0,0,1
"17","2020-01-24","sanfrancisco","california",0,0,5
"18","2020-01-24","sarasota","florida",0,0,1
"19","2020-01-24","cook","illinois",1,0,1
"20","2020-01-24","sangamon","illinois",0,0,1
"21","2020-01-24","annearundel","maryland",0,0,1
"22","2020-01-24","clark","nevada",0,0,1
"23","2020-01-24","newyork","new york",0,0,2
"24","2020-01-24","wake","north carolina",0,0,1
"25","2020-01-24","delaware","ohio",0,0,1
"26","2020-01-24","multnomah","oregon",0,0,2
"27","2020-01-24","harris","texas",0,0,1
"28","2020-01-24","cowlitz","washington",0,0,1
"29","2020-01-24","snohomish","washington",1,0,0
"30","2020-01-24","milwaukee","wisconsin",0,0,1
"31","2020-01-25","pinal","arizona",0,0,1
"32","2020-01-25","losangeles","california",0,0,1
"33","2020-01-25","monterey","california",0,0,1
"34","2020-01-25","orange","california",1,0,0
"35","2020-01-25","sanfrancisco","california",0,0,8
"36","2020-01-25","santaclara","california",0,0,1
"37","2020-01-25","sonoma","california",0,0,1
"38","2020-01-25","districtof columbia","district of columbia",0,0,1
"39","2020-01-25","duval","florida",0,0,1
"40","2020-01-25","cook","illinois",1,0,2
"41","2020-01-25","lake","indiana",0,0,1
"42","2020-01-25","marion","indiana",0,0,1
"43","2020-01-25","hampden","massachusetts",0,0,2
"44","2020-01-25","bighorn","montana",0,0,1
"45","2020-01-25","monroe","new york",0,0,1
"46","2020-01-25","newyork","new york",0,0,2
"47","2020-01-25","durham","north carolina",0,0,1
"48","2020-01-25","seneca","ohio",0,0,1
"49","2020-01-25","multnomah","oregon",0,0,2
"50","2020-01-25","dallas","texas",0,0,1
"51","2020-01-25","denton","texas",0,0,1
"52","2020-01-25","tarrant","texas",0,0,1
"53","2020-01-25","king","washington",0,0,1
"54","2020-01-25","snohomish","washington",1,0,0
"55","2020-01-26","maricopa","arizona",1,0,1
"56","2020-01-26","washington","arkansas",0,0,1
"57","2020-01-26","losangeles","california",1,0,1
"58","2020-01-26","orange","california",1,0,2
"59","2020-01-26","sanfrancisco","california",0,0,6
"60","2020-01-26","sanjoaquin","california",0,0,1
"61","2020-01-26","fulton","georgia",0,0,2
"62","2020-01-26","cook","illinois",1,0,0
"63","2020-01-26","kenton","kentucky",0,0,1
"64","2020-01-26","union","new jersey",0,0,1
"65","2020-01-26","newyork","new york",0,0,3
"66","2020-01-26","multnomah","oregon",0,0,1
"67","2020-01-26","lackawanna","pennsylvania",0,0,1
"68","2020-01-26","harris","texas",0,0,1
"69","2020-01-26","travis","texas",0,0,2
"70","2020-01-26","snohomish","washington",1,0,0
"71","2020-01-27","fairbanksnorth star","alaska",0,0,1
"72","2020-01-27","maricopa","arizona",1,0,0
"73","2020-01-27","losangeles","california",1,0,2
"74","2020-01-27","orange","california",1,0,0
"75","2020-01-27","sanfrancisco","california",0,0,6
"76","2020-01-27","santaclara","california",0,0,1
"77","2020-01-27","districtof columbia","district of columbia",0,0,1
"78","2020-01-27","charlotte","florida",0,0,1
"79","2020-01-27","hillsborough","florida",0,0,1
"80","2020-01-27","orange","florida",0,0,1
"81","2020-01-27","pasco","florida",0,0,1
"82","2020-01-27","columbia","georgia",0,0,1
"83","2020-01-27","cook","illinois",1,0,0
"84","2020-01-27","wichita","kansas",0,0,1
"85","2020-01-27","princegeorges","maryland",0,0,1
"86","2020-01-27","clark","nevada",0,0,1
"87","2020-01-27","newyork","new york",0,0,5
"88","2020-01-27","lackawanna","pennsylvania",0,0,1
"89","2020-01-27","travis","texas",0,0,1
"90","2020-01-27","snohomish","washington",1,0,0
"91","2020-01-28","maricopa","arizona",1,0,1
"92","2020-01-28","losangeles","california",1,0,5
"93","2020-01-28","orange","california",1,0,0
"94","2020-01-28","sanfrancisco","california",0,0,11
"95","2020-01-28","sanmateo","california",0,0,1
"96","2020-01-28","santaclara","california",0,0,1
"97","2020-01-28","garfield","colorado",0,0,1
"98","2020-01-28","middlesex","connecticut",0,0,1
"99","2020-01-28","leon","florida",0,0,1
"100","2020-01-28","miamidade","florida",0,0,1
"101","2020-01-28","orange","florida",0,0,1
"102","2020-01-28","pinellas","florida",0,0,1
"103","2020-01-28","cook","illinois",1,0,2
"104","2020-01-28","kenton","kentucky",0,0,1
"105","2020-01-28","clark","nevada",0,0,2
"106","2020-01-28","bernalillo","new mexico",0,0,1
"107","2020-01-28","albany","new york",0,0,1
"108","2020-01-28","erie","new york",0,0,1
"109","2020-01-28","newyork","new york",0,0,2
"110","2020-01-28","preble","ohio",0,0,1
"111","2020-01-28","multnomah","oregon",0,0,2
"112","2020-01-28","delaware","pennsylvania",0,0,1
"113","2020-01-28","lackawanna","pennsylvania",0,0,2
"114","2020-01-28","philadelphia","pennsylvania",0,0,2
"115","2020-01-28","saltlake","utah",0,0,1
"116","2020-01-28","summit","utah",0,0,1
"117","2020-01-28","king","washington",0,0,1
"118","2020-01-28","snohomish","washington",1,0,0
"119","2020-01-29","maricopa","arizona",1,0,1
"120","2020-01-29","alameda","california",0,0,1
"121","2020-01-29","losangeles","california",1,0,3
"122","2020-01-29","orange","california",1,0,3
"123","2020-01-29","riverside","california",0,0,5
"124","2020-01-29","sanbernardino","california",0,0,2
"125","2020-01-29","sanfrancisco","california",0,0,8
"126","2020-01-29","santaclara","california",0,0,1
"127","2020-01-29","sonoma","california",0,0,1
"128","2020-01-29","ventura","california",0,0,1
"129","2020-01-29","denver","colorado",0,0,1
"130","2020-01-29","hartford","connecticut",0,0,1
"131","2020-01-29","districtof columbia","district of columbia",0,0,2
"132","2020-01-29","palmbeach","florida",0,0,1
"133","2020-01-29","volusia","florida",0,0,1
"134","2020-01-29","fulton","georgia",0,0,1
"135","2020-01-29","cook","illinois",1,0,0
"136","2020-01-29","dupage","illinois",0,0,2
"137","2020-01-29","orleansparish","louisiana",0,0,1
"138","2020-01-29","kennebec","maine",0,0,1
"139","2020-01-29","worcester","massachusetts",0,0,1
