"","date","county","state","cases","deaths","Tweet_count"
"1","2020-03-01","kodiak island","alaska",0,0,1
"2","2020-03-01","maricopa","arizona",1,0,0
"3","2020-03-01","alameda","california",1,0,1
"4","2020-03-01","contra costa","california",0,0,1
"5","2020-03-01","humboldt","california",1,0,0
"6","2020-03-01","kings","california",0,0,1
"7","2020-03-01","los angeles","california",1,0,11
"8","2020-03-01","marin","california",1,0,0
"9","2020-03-01","napa","california",1,0,0
"10","2020-03-01","orange","california",1,0,3
"11","2020-03-01","riverside","california",0,0,10
"12","2020-03-01","sacramento","california",3,0,3
"13","2020-03-01","san diego","california",1,0,2
"14","2020-03-01","san francisco","california",3,0,15
"15","2020-03-01","santa clara","california",7,0,2
"16","2020-03-01","solano","california",12,0,0
"17","2020-03-01","sonoma","california",1,0,0
"18","2020-03-01","broomfield","colorado",0,0,1
"19","2020-03-01","hartford","connecticut",0,0,1
"20","2020-03-01","sussex","delaware",0,0,1
"21","2020-03-01","district of columbia","district of columbia",0,0,2
"22","2020-03-01","broward","florida",0,0,4
"23","2020-03-01","hillsborough","florida",1,0,1
"24","2020-03-01","leon","florida",0,0,1
"25","2020-03-01","manatee","florida",1,0,0
"26","2020-03-01","miamidade","florida",0,0,3
"27","2020-03-01","orange","florida",0,0,2
"28","2020-03-01","palm beach","florida",0,0,2
"29","2020-03-01","pinellas","florida",0,0,1
"30","2020-03-01","clayton","georgia",0,0,1
"31","2020-03-01","cobb","georgia",0,0,1
"32","2020-03-01","fulton","georgia",0,0,1
"33","2020-03-01","cook","illinois",3,0,11
"34","2020-03-01","macon","illinois",0,0,1
"35","2020-03-01","peoria","illinois",0,0,1
"36","2020-03-01","lake","indiana",0,0,1
"37","2020-03-01","hardin","kentucky",0,0,1
"38","2020-03-01","baltimore","maryland",0,0,1
"39","2020-03-01","montgomery","maryland",0,0,1
"40","2020-03-01","essex","massachusetts",0,0,1
"41","2020-03-01","middlesex","massachusetts",0,0,1
"42","2020-03-01","norfolk","massachusetts",0,0,1
"43","2020-03-01","suffolk","massachusetts",1,0,1
"44","2020-03-01","kent","michigan",0,0,1
"45","2020-03-01","saint clair","michigan",0,0,1
"46","2020-03-01","hennepin","minnesota",0,0,1
"47","2020-03-01","washington","minnesota",0,0,1
"48","2020-03-01","grenada","mississippi",0,0,2
"49","2020-03-01","harrison","mississippi",0,0,1
"50","2020-03-01","gallatin","montana",0,0,1
"51","2020-03-01","douglas","nebraska",13,0,0
"52","2020-03-01","clark","nevada",0,0,2
"53","2020-03-01","bergen","new jersey",0,0,1
"54","2020-03-01","somerset","new jersey",0,0,1
"55","2020-03-01","monroe","new york",0,0,1
"56","2020-03-01","new york city","new york",1,0,8
"57","2020-03-01","new york city","new york",0,0,12
"58","2020-03-01","oneida","new york",0,0,3
"59","2020-03-01","suffolk","new york",0,0,1
"60","2020-03-01","lenoir","north carolina",0,0,1
"61","2020-03-01","mecklenburg","north carolina",0,0,2
"62","2020-03-01","rowan","north carolina",0,0,1
"63","2020-03-01","wake","north carolina",0,0,2
"64","2020-03-01","cuyahoga","ohio",0,0,4
"65","2020-03-01","franklin","ohio",0,0,1
"66","2020-03-01","mahoning","ohio",0,0,2
"67","2020-03-01","jackson","oregon",0,0,1
"68","2020-03-01","multnomah","oregon",0,0,3
"69","2020-03-01","washington","oregon",2,0,0
"70","2020-03-01","yamhill","oregon",0,0,1
"71","2020-03-01","monroe","pennsylvania",0,0,1
"72","2020-03-01","york","pennsylvania",0,0,1
"73","2020-03-01","providence","rhode island",0,0,1
"74","2020-03-01","unknown","rhode island",2,0,0
"75","2020-03-01","florence","south carolina",0,0,1
"76","2020-03-01","greenville","south carolina",0,0,1
"77","2020-03-01","brookings","south dakota",0,0,1
"78","2020-03-01","shelby","tennessee",0,0,2
"79","2020-03-01","bexar","texas",11,0,0
"80","2020-03-01","dallas","texas",0,0,2
"81","2020-03-01","denton","texas",0,0,1
"82","2020-03-01","harris","texas",0,0,5
"83","2020-03-01","travis","texas",0,0,1
"84","2020-03-01","salt lake","utah",1,0,0
"85","2020-03-01","king","washington",11,3,0
"86","2020-03-01","kitsap","washington",0,0,1
"87","2020-03-01","snohomish","washington",2,0,0
"88","2020-03-01","spokane","washington",4,0,0
"89","2020-03-01","dane","wisconsin",1,0,0
"90","2020-03-01","sheridan","wyoming",0,0,1
"91","2020-03-02","maricopa","arizona",1,0,0
"92","2020-03-02","alameda","california",1,0,0
