"","Year","Month","Day","Text","Count"
"167",2021,4,1,"covid19",74620
"168",2021,4,1,"covid",53721
"169",2021,4,1,"unidosenprevención",28415
"170",2021,4,1,"todoscontraelvirus",22977
"171",2021,4,4,"covid-19",154887
"172",2021,4,4,"covid19",88556
"173",2021,4,4,"prevenireselantídoto",73446
"174",2021,4,4,"covid",58722
"175",2021,4,4,"coronavirus",25557
"176",2021,4,8,"covid-19",152964
"177",2021,4,8,"covid",81806
"178",2021,4,8,"covid19",60305
"179",2021,4,8,"juntoscontralacovid19",51256
"180",2021,4,8,"coronavirus",21291
"181",2021,4,9,"covid-19",141131
"182",2021,4,9,"covid",81063
"183",2021,4,9,"covid19",69467
"184",2021,4,9,"bioseguridadporlavida",54512
"185",2021,4,9,"coronavirus",23411
"186",2021,4,10,"covid-19",136677
"187",2021,4,10,"covid",86423
"188",2021,4,10,"covid19",67204
"189",2021,4,10,"luchacontralacovid19",57482
"190",2021,4,10,"coronavirus",19995
"191",2021,4,12,"covid-19",57579
"192",2021,4,12,"covid",32898
"193",2021,4,12,"coronavirus",16952
"194",2021,4,12,"covid19",6437
"195",2021,4,12,"venezuelacombatelacovid",4822
"196",2021,4,15,"covid-19",72288
"197",2021,4,15,"covid",62596
"198",2021,4,15,"covid19",43413
"199",2021,4,15,"coronavirus",12082
"200",2021,4,15,"p1",4002
"201",2021,4,16,"covid-19",94592
"202",2021,4,16,"covid",69358
"203",2021,4,16,"covid19",46680
"204",2021,4,16,"coronavirus",23915
"205",2021,4,16,"te ponesss loquita de nocheee",15120
"206",2021,4,17,"covid-19",137177
"207",2021,4,17,"daleunparaoalacovid",56083
"208",2021,4,17,"covid",49079
"209",2021,4,17,"covid19",39798
"210",2021,4,17,"coronavirus",17609
"211",2021,4,18,"covid-19",121648
"212",2021,4,18,"prevenirsalvavidas",60823
"213",2021,4,18,"covid",53796
"214",2021,4,18,"covid19",44187
"215",2021,4,18,"daleunparaoalacovid",22584
"216",2021,4,19,"covid-19",120875
"217",2021,4,19,"covid",69367
"218",2021,4,19,"covid19",53421
"219",2021,4,19,"abrildefuegopatrio",18510
"220",2021,4,19,"prevenirsalvavidas",16669
"221",2021,4,21,"covid-19",120963
"222",2021,4,21,"covid",68070
"223",2021,4,21,"covid19",48515
"224",2021,4,21,"prevenirporlavida",29589
"225",2021,4,21,"lacovidnoesjuego",21238
"226",2021,4,25,"covid-19",92212
"227",2021,4,25,"cuidémonosdelacovid",52367
"228",2021,4,25,"covid",36605
"229",2021,4,25,"covid19",33104
"230",2021,4,25,"preveniresclave",19712
"231",2021,4,26,"covid-19",90935
"232",2021,4,26,"covid",46634
"233",2021,4,26,"semanaflexible",39909
"234",2021,4,26,"covid19",37392
"235",2021,4,26,"coronavirus",16455
"236",2021,4,27,"covid-19",107065
"237",2021,4,27,"covid",49164
"238",2021,4,27,"covid19",35981
"239",2021,4,27,"coronavirus",20251
"240",2021,4,27,"abrazalavida",11528
"241",2021,5,3,"covid-19",82235
"242",2021,5,3,"covid",42450
"243",2021,5,3,"radicalescontralacovid",40296
"244",2021,5,3,"covid19",33207
"245",2021,5,3,"coronavirus",12967
"246",2021,5,4,"covid-19",82364
"247",2021,5,4,"covid",47175
"248",2021,5,4,"prevenirporlavida",32195
"249",2021,5,4,"covid19",30646
"250",2021,5,4,"radicalescontralacovid",15860
"251",2021,5,6,"covid-19",48388
"252",2021,5,6,"covid",28764
"253",2021,5,6,"covid19",28646
"254",2021,5,6,"coronavirus",7110
"255",2021,5,6,"protejamoslavida",7034
"256",2021,5,8,"covid-19",49838
"257",2021,5,8,"covid",37095
"258",2021,5,8,"covid19",29599
"259",2021,5,8,"luchemoscontraelvirus",13090
"260",2021,5,8,"coronavirus",9938
"261",2021,5,10,"covid-19",44992
"262",2021,5,10,"covid",37963
"263",2021,5,10,"covid19",30690
"264",2021,5,10,"coronavirus",12514
"265",2021,5,10,"vuelvefrancino",9444
"266",2021,5,12,"covid-19",47744
"267",2021,5,12,"covid",39809
"268",2021,5,12,"covid19",35475
"269",2021,5,12,"coronavirus",8139
"270",2021,5,12,"lacovidnodiscrimina",3319
"271",2021,5,13,"covid-19",39130
"272",2021,5,13,"covid",34484
"273",2021,5,13,"covid19",32139
"274",2021,5,13,"coronavirus",6441
"275",2021,5,13,"covid 19",2612
"276",2021,5,16,"covid",41000
"277",2021,5,16,"covid-19",35543
"278",2021,5,16,"covid19",21985
"279",2021,5,16,"coronavirus",4754
"280",2021,5,16,"primera",2410
"281",2021,5,19,"covid-19",46172
"282",2021,5,19,"covid",40682
"283",2021,5,19,"covid19",31446
"284",2021,5,19,"coronavirus",7656
"285",2021,5,19,"eliminaelbloqueo",2358
"286",2021,5,29,"covid-19",45737
"287",2021,5,29,"covid",35176
"288",2021,5,29,"covid19",28610
"289",2021,5,29,"coronavirus",6089
"290",2021,5,29,"vacunasparalavida",5355
"291",2021,5,30,"covid-19",41623
"292",2021,5,30,"covid",40972
"293",2021,5,30,"covid19",25925
"294",2021,5,30,"venezuelasevacuna",5914
"295",2021,5,30,"coronavirus",5285
"296",2021,5,31,"covid-19",57632
"297",2021,5,31,"covid",44256
"298",2021,5,31,"covid19",35863
"299",2021,5,31,"semanaradicalconsciente",8761
"300",2021,5,31,"copa américa",8348
"301",2021,6,4,"covid-19",49509
"302",2021,6,4,"covid",46769
"303",2021,6,4,"covid19",31140
"304",2021,6,4,"coronavirus",7584
"305",2021,6,4,"covid 19",2817
"306",2021,6,13,"covid",44206
"307",2021,6,13,"covid-19",38689
"308",2021,6,13,"covid19",21867
"309",2021,6,13,"coronavirus",4943
"310",2021,6,13,"copa américa",3304
"311",2021,6,15,"covid-19",49611
"312",2021,6,15,"covid",37342
"313",2021,6,15,"covid19",33663
"314",2021,6,15,"coronavirus",5425
"315",2021,6,15,"delta",4377
"316",2021,6,19,"covid",39204
"317",2021,6,19,"covid-19",38240
"318",2021,6,19,"covid19",25592
"319",2021,6,19,"coronavirus",4421
"320",2021,6,19,"col",3483
"321",2021,6,24,"covid",46858
"322",2021,6,24,"covid-19",42862
