"","Year","Month","Day","hour","Sentiment","Count","Percentage"
"103","2020",1,30,11,"negative",1832,0.772669759595108
"104","2020",1,30,11,"neutral",333,0.140447068747364
"105","2020",1,30,11,"positive",206,0.0868831716575285
"106","2020",1,30,12,"negative",2523,0.757202881152461
"107","2020",1,30,12,"neutral",411,0.123349339735894
"108","2020",1,30,12,"positive",398,0.119447779111645
"109","2020",1,30,13,"negative",3187,0.785749506903353
"110","2020",1,30,13,"neutral",445,0.109714003944773
"111","2020",1,30,13,"positive",424,0.104536489151874
"112","2020",1,30,14,"negative",2475,0.756649342708652
"113","2020",1,30,14,"neutral",435,0.132986854173036
"114","2020",1,30,14,"positive",361,0.110363803118312
"115","2020",1,30,15,"negative",4024,0.783794312426958
"116","2020",1,30,15,"neutral",692,0.134787689910401
"117","2020",1,30,15,"positive",418,0.0814179976626412
"118","2020",1,30,16,"negative",2830,0.778970547756675
"119","2020",1,30,16,"neutral",467,0.128543903110377
"120","2020",1,30,16,"positive",336,0.092485549132948
"121","2020",1,30,17,"negative",4212,0.79833206974981
"122","2020",1,30,17,"neutral",705,0.133623957543594
"123","2020",1,30,17,"positive",359,0.0680439727065959
"124","2020",1,30,18,"negative",5443,0.809127397056637
"125","2020",1,30,18,"neutral",870,0.129329567414895
"126","2020",1,30,18,"positive",414,0.0615430355284674
"127","2020",1,30,19,"negative",5263,0.804371083600795
"128","2020",1,30,19,"neutral",875,0.133730704569769
"129","2020",1,30,19,"positive",405,0.061898211829436
"130","2020",1,30,20,"negative",6189,0.831184528605963
"131","2020",1,30,20,"neutral",821,0.110260542573194
"132","2020",1,30,20,"positive",436,0.0585549288208434
"133","2020",1,30,21,"negative",8205,0.841624782028926
"134","2020",1,30,21,"neutral",1011,0.103702943891681
"135","2020",1,30,21,"positive",533,0.0546722740793928
"136","2020",1,30,22,"negative",4612,0.838697945080924
"137","2020",1,30,22,"neutral",602,0.109474449899982
"138","2020",1,30,22,"positive",285,0.0518276050190944
"139","2020",1,30,23,"negative",7539,0.847936115172646
"140","2020",1,30,23,"neutral",933,0.104937577325385
"141","2020",1,30,23,"positive",419,0.0471263075019683
"142","2020",1,31,0,"negative",4488,0.826976229961305
"143","2020",1,31,0,"neutral",689,0.126957803574719
"144","2020",1,31,0,"positive",250,0.0460659664639764
"145","2020",1,31,1,"negative",6129,0.829925524712255
"146","2020",1,31,1,"neutral",966,0.130805687203791
"147","2020",1,31,1,"positive",290,0.039268788083954
"148","2020",1,31,2,"negative",4909,0.817349317349317
"149","2020",1,31,2,"neutral",881,0.146686646686647
"150","2020",1,31,2,"positive",216,0.035964035964036
"151","2020",1,31,3,"negative",6027,0.836038285476488
"152","2020",1,31,3,"neutral",959,0.133028159245388
"153","2020",1,31,3,"positive",223,0.0309335552781246
"154","2020",1,31,4,"negative",4943,0.847855917667238
"155","2020",1,31,4,"neutral",668,0.114579759862779
"156","2020",1,31,4,"positive",219,0.0375643224699828
"157","2020",1,31,5,"negative",4444,0.838648801660691
"158","2020",1,31,5,"neutral",642,0.121154934893376
"159","2020",1,31,5,"positive",213,0.0401962634459332
"160","2020",1,31,6,"negative",3270,0.842349304482226
"161","2020",1,31,6,"neutral",452,0.116434827408552
"162","2020",1,31,6,"positive",160,0.0412158681092221
"163","2020",1,31,7,"negative",1787,0.801704800358905
"164","2020",1,31,7,"neutral",293,0.13144908030507
