Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1607935864591589376,ko,NO,YES,0,254,"",Wed Dec 28 03:05:58 +0000 2022
1607938289335697410,ko,NO,YES,0,254,"",Wed Dec 28 03:15:36 +0000 2022
1607938953403068418,ko,NO,YES,0,161,"",Wed Dec 28 03:18:15 +0000 2022
1607940369232326656,ko,NO,YES,0,254,"",Wed Dec 28 03:23:52 +0000 2022
1607945423611920385,ko,NO,YES,0,254,"",Wed Dec 28 03:43:57 +0000 2022
1607934400729337862,en,NO,NO,14,0,"",Wed Dec 28 03:00:09 +0000 2022
1607934618673778688,en,NO,YES,0,31,"",Wed Dec 28 03:01:01 +0000 2022
1607934936442634241,en,NO,NO,0,0,"",Wed Dec 28 03:02:17 +0000 2022
1607935876516175872,fr,NO,YES,0,5,"",Wed Dec 28 03:06:01 +0000 2022
1607936167827193856,en,NO,YES,0,1,"",Wed Dec 28 03:07:11 +0000 2022
1607936266384904193,fr,NO,YES,0,2729,"",Wed Dec 28 03:07:34 +0000 2022
1607936314279616512,en,NO,NO,3,0,"",Wed Dec 28 03:07:45 +0000 2022
1607937426038886401,en,NO,YES,0,1,"",Wed Dec 28 03:12:11 +0000 2022
1607937852750401537,fr,NO,YES,0,258,"",Wed Dec 28 03:13:52 +0000 2022
1607938106715414528,pt,NO,NO,9,0,"",Wed Dec 28 03:14:53 +0000 2022
1607938155595833344,en,NO,NO,1,0,"",Wed Dec 28 03:15:04 +0000 2022
1607939253463568385,en,NO,NO,3,0,"",Wed Dec 28 03:19:26 +0000 2022
1607939796806008832,en,NO,NO,1,0,"",Wed Dec 28 03:21:36 +0000 2022
1607940469228711937,en,NO,NO,0,0,"",Wed Dec 28 03:24:16 +0000 2022
1607940566427254785,es,NO,YES,0,32,"",Wed Dec 28 03:24:39 +0000 2022
1607940767296659457,en,NO,NO,0,0,"",Wed Dec 28 03:25:27 +0000 2022
1607941059493113856,en,NO,NO,0,0,"",Wed Dec 28 03:26:37 +0000 2022
1607941208286035969,es,NO,YES,0,32,"",Wed Dec 28 03:27:12 +0000 2022
1607941769941090306,fr,NO,NO,0,0,"",Wed Dec 28 03:29:26 +0000 2022
1607941954314149888,en,NO,YES,0,62,"",Wed Dec 28 03:30:10 +0000 2022
1607942738716000261,fr,NO,NO,0,0,"",Wed Dec 28 03:33:17 +0000 2022
1607943481183313920,en,NO,NO,3,0,"",Wed Dec 28 03:36:14 +0000 2022
1607943832670191616,en,NO,NO,0,0,"",Wed Dec 28 03:37:38 +0000 2022
1607944567524925443,en,NO,NO,2,0,"",Wed Dec 28 03:40:33 +0000 2022
1607944989694382082,in,NO,NO,1,0,"",Wed Dec 28 03:42:14 +0000 2022
