Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1600701702348443648,und,NO,NO,0,0,"",Thu Dec 08 04:00:00 +0000 2022
1600701702860062720,es,NO,NO,2,2,"",Thu Dec 08 04:00:00 +0000 2022
1600701703593992192,en,NO,NO,1,2,"",Thu Dec 08 04:00:00 +0000 2022
1600701703719903234,es,NO,NO,0,0,"",Thu Dec 08 04:00:00 +0000 2022
1600701704097632256,en,NO,YES,0,21948,"",Thu Dec 08 04:00:00 +0000 2022
1600701704231563265,en,NO,NO,1,0,"",Thu Dec 08 04:00:00 +0000 2022
1600701704512700416,en,NO,NO,0,1,"",Thu Dec 08 04:00:00 +0000 2022
1600701704680673282,de,NO,YES,0,2,"",Thu Dec 08 04:00:00 +0000 2022
1600701704734797824,en,NO,NO,3,1,"",Thu Dec 08 04:00:00 +0000 2022
1600701704802271233,en,NO,NO,1,0,"",Thu Dec 08 04:00:00 +0000 2022
1600701705137852416,in,NO,NO,2,0,"",Thu Dec 08 04:00:00 +0000 2022
1600701705158524928,en,NO,NO,6,2,"",Thu Dec 08 04:00:00 +0000 2022
1600701705217114112,en,NO,NO,5,0,"",Thu Dec 08 04:00:00 +0000 2022
1600701705423056897,en,NO,YES,0,2388,"",Thu Dec 08 04:00:00 +0000 2022
1600701705447870465,en,NO,NO,0,0,"",Thu Dec 08 04:00:00 +0000 2022
1600701705624207360,en,NO,NO,1,0,"",Thu Dec 08 04:00:00 +0000 2022
1600701705972129792,en,NO,NO,11,0,"",Thu Dec 08 04:00:00 +0000 2022
1600701705976528897,es,NO,NO,0,0,"",Thu Dec 08 04:00:00 +0000 2022
1600701705985085440,en,NO,YES,0,397,"",Thu Dec 08 04:00:00 +0000 2022
1600701705993482240,en,NO,YES,0,321,"",Thu Dec 08 04:00:00 +0000 2022
1600701706022490112,en,NO,NO,1,0,"",Thu Dec 08 04:00:00 +0000 2022
1600701706165420033,en,NO,NO,0,0,"",Thu Dec 08 04:00:01 +0000 2022
1600701706538725376,en,NO,YES,0,81,"",Thu Dec 08 04:00:01 +0000 2022
1600701706563686402,en,NO,YES,0,11028,"",Thu Dec 08 04:00:01 +0000 2022
1600701706622353408,en,NO,NO,4,0,"",Thu Dec 08 04:00:01 +0000 2022
1600701706622361601,en,NO,NO,10,5,"",Thu Dec 08 04:00:01 +0000 2022
1600701706735452160,en,NO,NO,0,0,"",Thu Dec 08 04:00:01 +0000 2022
1600701707092054016,en,NO,NO,1,1,"",Thu Dec 08 04:00:01 +0000 2022
1600701707243200512,en,NO,NO,0,0,"",Thu Dec 08 04:00:01 +0000 2022
1600701707272749058,en,NO,YES,0,7545,"",Thu Dec 08 04:00:01 +0000 2022
1600701707549294594,en,NO,NO,0,1,"",Thu Dec 08 04:00:01 +0000 2022
1600701707662475264,en,NO,YES,0,1,"",Thu Dec 08 04:00:01 +0000 2022
1600701708006739968,en,NO,YES,0,3458,"",Thu Dec 08 04:00:01 +0000 2022
1600701708048416770,en,NO,NO,2,0,"",Thu Dec 08 04:00:01 +0000 2022
1600701708190957569,en,NO,NO,0,0,"",Thu Dec 08 04:00:01 +0000 2022
1600701708241227776,en,NO,NO,0,0,"",Thu Dec 08 04:00:01 +0000 2022
1600701708283297796,ja,NO,NO,0,0,"",Thu Dec 08 04:00:01 +0000 2022
1600701708308709376,en,NO,NO,0,0,"",Thu Dec 08 04:00:01 +0000 2022
1600701708396482560,in,NO,NO,4,5,"",Thu Dec 08 04:00:01 +0000 2022
1600701708476514304,en,NO,YES,0,32,"",Thu Dec 08 04:00:01 +0000 2022
1600701708531011584,ja,NO,NO,0,0,"",Thu Dec 08 04:00:01 +0000 2022
1600701708958838785,en,NO,YES,0,1583,"",Thu Dec 08 04:00:01 +0000 2022
1600701709898088448,en,NO,NO,35,17,"",Thu Dec 08 04:00:01 +0000 2022
1600701710053347328,qme,NO,NO,0,0,"",Thu Dec 08 04:00:01 +0000 2022
1600701710241918977,en,NO,NO,3,1,"",Thu Dec 08 04:00:01 +0000 2022
1600701710372159488,en,NO,NO,0,0,"",Thu Dec 08 04:00:02 +0000 2022
1600701710934032385,en,NO,YES,0,21948,"",Thu Dec 08 04:00:02 +0000 2022
1600701711018250240,en,NO,YES,0,3458,"",Thu Dec 08 04:00:02 +0000 2022
1600701711362162688,en,NO,NO,3,0,"",Thu Dec 08 04:00:02 +0000 2022
1600701712356216832,en,NO,NO,0,0,"",Thu Dec 08 04:00:02 +0000 2022
1600701712532127746,en,NO,YES,0,241,"",Thu Dec 08 04:00:02 +0000 2022
1600701712641142785,en,NO,YES,0,17,"",Thu Dec 08 04:00:02 +0000 2022
1600701713119600642,zh,NO,NO,3,0,"",Thu Dec 08 04:00:02 +0000 2022
1600701713626927104,en,NO,NO,0,0,"",Thu Dec 08 04:00:02 +0000 2022
1600701713882628096,th,NO,YES,0,41,"",Thu Dec 08 04:00:02 +0000 2022
1600701713958129664,ja,NO,YES,0,4,"",Thu Dec 08 04:00:02 +0000 2022
1600701714939936768,ja,NO,YES,0,162,"",Thu Dec 08 04:00:03 +0000 2022
1600701714956705792,en,NO,NO,0,2,"",Thu Dec 08 04:00:03 +0000 2022
