Tweet_ID,Mentions
1599025658419548162,@AllisonPearson
1599025658478223360,@Ben_Tigui
1599025659002900480,@thisisGBA
1599025659036270592,@CareTalkMag
1599025659560439809,@dmeillerand
1599025659564724225,@cpratsa_
1599025660546072576,@KayabagaArielle
1599025660546072576,@WHOAFRO
1599025660546072576,@MoetiTshidi
1599025660902506496,@OsmarTerra
1599025661389463553,@ZhentingLiu
1599025661460766726,@aboanwer6h74
1599025661678477312,@NicolasMaduro
1599025661678477312,@magally_vina
1599025661678477312,@vmsfelicidad
1599025661678477312,@ViceSocialT_ve
1599025662265696257,@hissediyoor
1599025662555172865,@ACTBrigitte
1599025662777790465,@catturd2
1599025662815129600,"@nihceal,"
1599025662815129600,@NIH
1599025663343665154,@WallStreetSilv
1599025664014704640,@catturd2
1599025664346267648,@mookyjoyner
1599025664434196482,@darthodius
1599025664434196482,@TravisAllen02
1599025664832589824,@Pr_Logos
1599025665554071552,@cubacooperaven
1599025665554071552,@MINSAPCuba
1599025665554071552,@cubacolabora
1599025665965461504,@ptr12343
1599025665977688064,@cubacooperaven
1599025665977688064,@MINSAPCuba
1599025665994412032,@MerissaHansen17
1599025666023989249,@cdcalahorra
1599025666023989249,@cfnucia
1599025666065694720,@fitterhappierAJ
1599025666711658496,@Laura_Pasin
1599025666711658496,@SFresilli
1599025666736824320,@PearlsorPebbles
1599025666736824320,@JujuliaGrace
1599025666736824320,@mrchrisaddison
1599025667391119360,@OuestFrance
1599025667496181760,@carrizal_cdi
1599025667512770560,@carrizal_cdi
1599025667517063169,@
1599025668528148480,@catturd2
1599025668901072896,@cubacooperaven
1599025668901072896,@MINSAPCuba
1599025668901072896,@CubaMir_Ven
1599025668901072896,@OropezaCDI2
1599025668901072896,@RicardoViltres
1599025668930424833,@catturd2
1599025668981133313,@sahialiafzal
1599025669098250240,@songpinganq
1599025669618290688,@cubacooperaven
1599025669618290688,@MINSAPCuba
1599025669618290688,@CubaMir_Ven
1599025669618290688,@OropezaCDI2
1599025669618290688,@RicardoViltres
1599025669781929984,@EVilluendasC
1599025669920284672,@cubacooperaven
1599025669920284672,@MINSAPCuba
1599025670423998465,@darrengrimes_
1599025671917142018,@charliekirk11
1599025671988162560,@elonmusk
1599025672311123968,@ZubyMusic
1599025672995098626,@renatajbarreto
1599025673644830721,@consent_factory
1599025673644830721,@elonmusk
1599025673644830721,@mtaibbi
1599025673792016384,@norberthaering
1599025674152710144,@votevets
1599025674387623938,@janisfrayer
1599025674387623938,@TODAYshow
1599025674387623938,@janisfrayer
1599025674387623938,@TODAYshow
1599025674387623938,@janisfrayer
1599025674999644160,@kylenabecker
1599025675448750081,@Kaoru_9021
1599025675523919872,@DimitrisY
1599025675523919872,@authority_is
1599025675523919872,@Doctor_I_am_The
1599025676203749380,@RenzTom
1599025677139070978,@VABVOX
1599025677205807104,@shdegaray73
1599025677457842178,@AnneliseBocquet
1599025677621026816,@BretWeinstein
1599025677621026816,@elonmusk
1599025677621026816,@micsolana
1599025677621026816,@N…
1599025677986328582,@skullcats_nft
1599025678145720321,@kilmeade
1599025678740881408,@firstdoktor
1599025679110393857,@comradeaux
1599025679223644160,@cubacooperaven
1599025679403986945,@fukuidkan
1599025679416569856,@MacroAlf
1599025680120848385,@DustyRose2122
1599025680268021761,@JenniferMarguli
1599025680498335746,@Pinzie
1599025681714782211,@purdyme123
1599025682155126784,@DEAHQ
1599025682155126784,@CIA
1599025682155126784,@Interpol
1599025682155126784,@lopezobrador_
1599025682348408832,@katjabraendle
1599025682562306049,@InspirationSNSD
1599025683225018368,@JamesMelville
1599025684999200768,@catturd2
1599025685325967360,@Biafra4Africa
1599025685418360833,@ChrisWaldburger
1599025686169079808,@RBJ2K1
1599025686483984385,@WSJ
1599025686705893376,@preshitorian
1599025687930621953,@jeha2019
1599025687930621953,@berli…
1599025688891527169,@RobertKennedyJr
1599025689100894208,@chiproytx
1599025689100894208,@elonmusk
1599025689701023745,@dailydodam
1599025689814237184,@LaArrebato
1599025690074120193,@JenniferLerner1
1599025690426236928,@___Colb___
1599025691038662658,@Sunni_in_SoCal
1599025691038662658,@Habzz55
1599025691038662658,@samanthamarika1
1599025691055779840,@BanounHelene
1599025691604811778,@Grignwan
1599025692959817729,@York_HCP
1599025693026721792,@PeterSweden7
1599025693442048000,@RonRonkmfa
1599025693827866626,@elonmusk?
1599025693857382400,@Tom_Slater_
1599025694012768256,@1goodtern
1599025694641557505,@PatriotaWil
1599025694906150914,@RWittenbrink
1599025695740420096,@catturd2
1599025695790755840,@catturd2
1599025696336011264,@Partisan_O
1599025696503828480,@NYSenatorRivera
1599025696503828480,@HealthNYGov
1599025696789364736,@Joy997FM
1599025698017927169,@MeetJess
1599025698131570688,@akheriaty
1599025698131570688,"@elonmusk,"
1599025698160508928,@DrRibeiro_MD
1599025698416779264,@cubacooperave_C
1599025698559041536,@akheriaty
1599025698559041536,"@elonmusk,"
1599025698819035136,@DakotaSidwell
1599025699855118336,@catturd2
1599025699855118336,@elonmusk
1599025700240924672,@crownagents
1599025700807536640,@MarkusGuimas2
1599025700883038209,@john_mcguirk
1599025700886827008,@rholftroy
1599025701297917952,@GerryTimbers
1599025701297917952,@cutecanukgirl
1599025701352804353,@Kuminxs37
1599025701524422656,@catturd2
1599025701570506752,@JeromeAdamsMD
1599025701939617792,@rmartinpalacios
1599025702061252608,@cubacooperaven
1599025702745083905,@FraserNelson
1599025703013740544,@NBSaphierMD
1599025703113981953,@danwootton
1599025703508271104,@DanieleGanser
1599025704049336320,@Weltwoche
1599025704049336320,@AfD-Chefin
1599025704049336320,@Alice_Weidel
1599025704699826177,@AllisonPearson
1599025704808873984,@snb19692
1599025705542569984,@CubacooperaveG
1599025706108755969,@PatriotaWil
1599025706884702209,@SunnygladeClose
1599025706884702209,@davidclarkdavi1
1599025706884702209,@MaizyDaizyZzzz
1599025706884702209,@glenghostly
1599025706884702209,@DJJASONJOY1
1599025706884702209,@dkbmobile
1599025706884702209,@norwood_darren
1599025706884702209,@frandeebee
1599025706884702209,@DallisonJoy
1599025706884702209,@NEOint…
1599025708747358212,@catturd2
1599025709195833344,@WSJ
1599025710147870720,@titisan_suketi
1599025710165028873,@ChGefaell
1599025710206574592,@TRyanGregory
1599025710362169345,@Cristianx999
1599025710362169345,@Jepositivo
1599025710362169345,@nometiente
1599025710802534401,@diplo_geo
1599025710982516736,@WashburneAlex
1599025712089866240,@cubacooperaven
1599025712136351746,@darrengrimes_
1599025713478107136,@GevaertThomas
1599025714065715200,@VascoN95
1599025714795544576,@i8LXKpFUJf0eCoX
1599025715563102208,@poloconghaile
1599025715923800066,@zhengzhoutimes
1599025715977986050,@OpeAdetayo1
1599025715977986050,"@washingtonpost,"
1599025715977986050,@yjt…
1599025716477452290,@p3likaan
1599025716485853186,@righttobikeit
1599025716485853186,@bazmcmul
1599025717286932481,@wrebel_nicola
1599025717391790081,@Resist_05
1599025717768921088,@charliekirk11
1599025717907316736,@codemeee
1599025718113210369,@___Colb___
1599025718389723136,@Elterminalcdi
1599025719643844608,@Art_Mont_Blanc
1599025719845146625,@franceinfo
1599025720231333889,@RZitelmann
1599025720235171840,@JudicialWatch
1599025720289677312,@johnrackham82
1599025720444866560,@karinamichelin
1599025720516259840,@elonmusk
1599025720516259840,@stillgray
1599025720725864449,@PatriotaWil
1599025721808105472,@WallStreetSilv
1599025722089418752,@darrengrimes_
1599025722575622145,@ARS_NAquit
1599025723406110720,@catturd2
1599025723863244802,@DrSteveNorth
1599025723863244802,@LongCovidHell
1599025723863244802,@EnemyInAState
1599025724106895361,@PiotrWitczak_
1599025724135903232,@TristanSnell
1599025724325007360,@soonkyupsal
